tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
Delta Desk,Online,Wages,2023 TY,"$73,220",Standard,"$2,390","$3,980",Head of Household,2-page,4.75%,Simple,On time,Yes,No,4737.68,5 stars,7,8,3 dependents,"$20,800","$4,800",Yes
Delta Desk,Online,Wages,2022 TY,"$34,960",Standard,"$1,140","$1,900",Married Joint,2-page,3.00%,Simple,On time,Yes,No,0.0,5 stars,7,4,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Preparer,Wages,2020 TY,"$64,920",Standard,"$2,120","$3,530",Married Joint,2-page,3.00%,Simple,On time,Yes,No,65.86,5 stars,5,7,3 dependents,"$27,700","$4,800",Yes
Central Desk,Online,Mixed,2022 TY,"$55,220",Itemized,"$25,100","$20,080",Single,8-page,4.75%,Schedule-heavy,On time,No,Yes,16663.92,4 stars,5,16,0 dependents,"$15,460",$0,Yes
River Desk,Walk-in,Mixed,2021 TY,"$41,440",Standard,"$18,840","$15,070",Head of Household,2-page,0.00%,Simple,On time,Yes,No,3601.45,5 stars,3,8,1 dependent,"$20,800","$2,400",No
Capitol Desk,Online,Wages,2023 TY,"$79,340",Itemized,"$2,590","$4,310",Married Joint,2-page,4.75%,Simple,On time,Yes,No,7667.09,5 stars,8,9,0 dependents,"$37,290",$0,Yes
Central Desk,Walk-in,Wages,2022 TY,"$50,320",Itemized,"$1,640","$2,730",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,No,0.0,4 stars,13,6,1 dependent,"$44,130","$2,400",No
River Desk,Online,Wages,2022 TY,"$52,320",Itemized,"$1,710","$2,840",Head of Household,2-page,5.50%,Simple,No filing yet,No,No,4649.62,3 stars,6,6,0 dependents,"$34,250",$0,Yes
North Desk,Online,Wages,2022 TY,"$35,460",Standard,"$1,160","$1,930",Single,16-page,5.50%,Audit-ready,On time,No,Yes,4139.22,3 stars,8,9,0 dependents,"$13,850",$0,Yes
Harbor Desk,Online,Wages,Not Available,"$79,500",Standard,"$2,590","$4,320",Single,2-page,5.50%,Simple,On time,No,No,14418.23,4 stars,1,9,0 dependents,"$13,850",$400,Yes
Highland Desk,Preparer,Pension,2023 TY,"$30,380",Standard,$0,"$5,360",Single,2-page,5.50%,Simple,On time,No,No,2736.94,4 stars,4,3,0 dependents,"$13,850",$0,Yes
Harbor Desk,Walk-in,Self-employed,2022 TY,"$12,540",Standard,"$66,870","$4,180",Married Joint,16-page,0.00%,Audit-ready,On time,No,Yes,7791.82,3 stars,11,14,1 dependent,"$27,700",$0,No
Harbor Desk,Online,Wages,2022 TY,"$55,470",Itemized,"$1,810","$3,010",Head of Household,2-page,0.00%,Simple,On time,Yes,No,243.51,5 stars,8,6,1 dependent,"$43,100","$1,600",No
Prairie Desk,Online,Self-employed,2019 TY,"$4,960",Standard,"$26,480","$1,650",Single,2-page,5.50%,Simple,No filing yet,Yes,No,2882.68,4 stars,8,3,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Pension,Not Available,"$32,520",Standard,$0,"$5,740",Married Separate,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,10,4,4 dependents,"$13,850","$6,400",Yes
Highland Desk,Preparer,Wages,2021 TY,"$87,570",Itemized,"$2,860","$4,760",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,No,75.51,5 stars,7,15,3 dependents,"$59,600","$4,800",Yes
Prairie Desk,Online,Wages,2021 TY,"$61,490",Standard,"$2,010","$3,340",Single,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,9692.23,4 stars,8,12,0 dependents,"$13,850",$0,Yes
Delta Desk,Walk-in,Wages,Not Available,"$34,760",Itemized,"$1,130","$1,890",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,3023.49,5 stars,5,9,0 dependents,"$22,960",$0,Yes
North Desk,Online,Wages,2023 TY,"$63,780",Itemized,"$2,080","$3,470",Married Joint,2-page,5.50%,Simple,On time,Yes,Yes,263.14,5 stars,9,7,1 dependent,"$58,040","$1,600",Yes
Central Desk,Preparer,Investment,2019 TY,"$18,080",Standard,"$9,040","$63,280",Married Joint,2-page,5.50%,Simple,On time,Yes,No,6289.07,5 stars,8,10,2 dependents,"$27,700",$0,Yes
Central Desk,Preparer,Royalty,2019 TY,"$22,710",Itemized,"$45,410","$158,950",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,No,27074.7,4 stars,11,25,0 dependents,"$54,940",$0,Yes
North Desk,Online,Wages,2019 TY,"$63,340",Itemized,"$2,070","$3,440",Single,16-page,0.00%,Audit-ready,On time,Yes,No,2302.06,4 stars,1,12,2 dependents,"$16,600","$3,200",No
Capitol Desk,Online,Investment,2022 TY,"$15,640",Standard,"$7,820","$54,750",Married Separate,2-page,0.00%,Simple,On time,Yes,No,5158.08,5 stars,9,8,0 dependents,"$13,850",$0,No
Central Desk,Walk-in,Wages,2019 TY,"$88,390",Standard,"$2,880","$4,800",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,17691.09,5 stars,3,15,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Mixed,Not Available,"$12,520",Itemized,"$5,690","$4,550",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,No,912.82,5 stars,4,7,2 dependents,"$24,800",$0,Yes
North Desk,Preparer,Investment,Not Available,"$20,580",Itemized,"$10,290","$72,030",Single,2-page,6.20%,Simple,On time,Yes,Yes,6133.17,5 stars,1,11,1 dependent,"$30,700","$1,600",Yes
Harbor Desk,Walk-in,Wages,2022 TY,"$101,080",Standard,"$3,300","$5,490",Single,2-page,4.75%,Simple,On time,Yes,No,20138.87,5 stars,2,12,2 dependents,"$13,850",$0,Yes
Prairie Desk,Online,Wages,2022 TY,"$54,470",Standard,"$1,780","$2,960",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,5437.27,5 stars,1,6,0 dependents,"$27,700",$0,Yes
North Desk,Walk-in,Mixed,2021 TY,"$14,300",Standard,"$6,500","$5,200",Married Joint,2-page,6.20%,Simple,No filing yet,Yes,No,0.0,4 stars,2,2,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Royalty,2019 TY,"$6,540",Standard,"$13,070","$45,760",Married Joint,16-page,3.00%,Audit-ready,On time,Yes,No,2870.18,4 stars,0,12,0 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Wages,2023 TY,"$89,160",Itemized,"$2,910","$4,850",Married Joint,2-page,6.20%,Simple,2-year amend,No,Yes,10818.17,3 stars,7,10,0 dependents,"$41,240",$0,Yes
Highland Desk,Online,Wages,2020 TY,"$65,340",Standard,"$2,130","$3,550",Qualifying Widow,16-page,0.00%,Audit-ready,On time,No,No,4494.65,3 stars,9,12,0 dependents,"$27,700",$0,No
River Desk,Online,Wages,2020 TY,"$38,520",Standard,"$1,260","$2,090",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,Yes,416.61,4 stars,15,4,1 dependent,"$27,700",$0,Yes
Highland Desk,Online,Mixed,2021 TY,"$31,590",Itemized,"$14,360","$11,490",Married Joint,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,2,6,1 dependent,"$47,310","$1,600",Yes
North Desk,Online,Mixed,2019 TY,"$33,660",Standard,"$15,300","$12,240",Married Joint,16-page,3.00%,Audit-ready,On time,Yes,No,2922.43,4 stars,5,11,1 dependent,"$27,700",$0,Yes
Harbor Desk,Online,Investment,2022 TY,"$23,360",Itemized,"$11,680","$81,750",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,7857.83,4 stars,11,17,0 dependents,"$30,150",$0,No
Prairie Desk,Online,Investment,2023 TY,"$33,520",Standard,"$16,760","$117,310",Married Joint,2-page,3.00%,Simple,No filing yet,Yes,No,18202.98,4 stars,12,18,0 dependents,"$27,700",$0,Yes
River Desk,Preparer,Contract,2023 TY,"$33,760",Standard,"$57,880","$4,820",Single,8-page,4.75%,Schedule-heavy,On time,No,No,15140.79,4 stars,10,15,1 dependent,"$13,850","$1,600",Yes
River Desk,Online,Investment,2022 TY,"$24,340",Standard,"$12,170","$85,200",Married Joint,8-page,3.00%,Schedule-heavy,On time,No,No,9308.38,4 stars,5,18,0 dependents,"$27,700",$400,Yes
River Desk,Online,Wages,2023 TY,"$27,640",Standard,$900,"$1,500",Single,8-page,6.20%,Schedule-heavy,On time,Yes,No,1152.69,5 stars,2,8,2 dependents,"$13,850",$0,Yes
Capitol Desk,Online,Mixed,2022 TY,"$20,990",Standard,"$9,540","$7,630",Qualifying Widow,8-page,0.00%,Schedule-heavy,On time,Yes,No,501.29,5 stars,1,9,0 dependents,"$27,700",$200,No
North Desk,Online,Wages,2023 TY,"$68,810",Itemized,"$2,240","$3,740",Married Joint,2-page,4.75%,Simple,On time,No,Yes,3177.12,4 stars,8,8,1 dependent,"$37,680","$1,600",Yes
Central Desk,Online,Wages,2022 TY,"$27,330",Standard,$890,"$1,490",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,No,180.29,4 stars,2,3,3 dependents,"$20,800",$0,No
Highland Desk,Online,Contract,2021 TY,"$21,240",Standard,"$36,410","$3,030",Married Joint,2-page,7.00%,Simple,On time,No,No,3911.48,4 stars,5,6,1 dependent,"$27,700","$1,600",Yes
Central Desk,Preparer,Self-employed,Not Available,"$12,290",Itemized,"$65,560","$4,100",Single,2-page,6.20%,Simple,On time,Yes,No,12342.64,5 stars,4,9,1 dependent,"$15,160","$1,600",Yes
Prairie Desk,Preparer,Farm,2021 TY,"$4,900",Standard,"$13,720",$980,Head of Household,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,11,2,1 dependent,"$20,800","$1,600",Yes
Highland Desk,Preparer,Wages,2019 TY,"$34,420",Standard,"$1,120","$1,870",Married Joint,2-page,7.00%,Simple,3-year amend,No,No,438.87,3 stars,11,4,0 dependents,"$27,700",$400,Yes
Capitol Desk,Online,Mixed,2021 TY,"$41,350",Standard,"$18,790","$15,040",Married Separate,2-page,3.00%,Simple,On time,No,No,8535.43,4 stars,5,8,1 dependent,"$13,850",$0,Yes
Prairie Desk,Walk-in,Mixed,2021 TY,"$51,210",Standard,"$23,280","$18,620",Married Joint,2-page,5.50%,Simple,On time,Yes,No,4348.8,5 stars,6,10,3 dependents,"$27,700","$5,600",Yes
Highland Desk,Preparer,Wages,2021 TY,"$80,480",Standard,"$2,620","$4,370",Married Joint,2-page,3.00%,Simple,On time,Yes,No,2489.69,5 stars,4,9,4 dependents,"$27,700","$6,400",Yes
Prairie Desk,Preparer,Wages,2022 TY,"$70,440",Standard,"$2,300","$3,830",Head of Household,2-page,6.20%,Simple,On time,Yes,No,7634.88,5 stars,9,8,1 dependent,"$20,800","$1,600",Yes
River Desk,Online,Mixed,2023 TY,"$44,120",Itemized,"$20,050","$16,040",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,3050.53,5 stars,3,8,0 dependents,"$52,610",$0,Yes
Prairie Desk,Online,Wages,2021 TY,"$40,560",Standard,"$1,320","$2,200",Single,8-page,4.75%,Schedule-heavy,On time,No,No,4693.62,4 stars,8,9,2 dependents,"$13,850",$0,Yes
Central Desk,Online,Contract,2022 TY,"$12,960",Itemized,"$22,210","$1,850",Married Joint,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,10,4,1 dependent,"$59,200","$1,600",Yes
Highland Desk,Online,Wages,2021 TY,"$45,760",Itemized,"$1,490","$2,490",Married Joint,2-page,6.20%,Simple,2-year amend,Yes,No,0.0,4 stars,2,5,0 dependents,"$50,110",$0,Yes
Highland Desk,Preparer,Wages,2023 TY,"$66,090",Standard,"$2,160","$3,590",Qualifying Widow,2-page,7.00%,Simple,On time,Yes,Yes,7339.43,5 stars,2,7,0 dependents,"$27,700",$0,Yes
North Desk,Online,Investment,2020 TY,"$23,100",Standard,"$11,550","$80,850",Single,2-page,0.00%,Simple,On time,Yes,No,10592.17,5 stars,4,12,0 dependents,"$13,850",$0,No
Central Desk,Online,Wages,2020 TY,"$11,040",Standard,$360,$600,Married Joint,2-page,3.00%,Simple,On time,No,Yes,0.0,4 stars,9,1,1 dependent,"$27,700","$2,000",Yes
Prairie Desk,Online,Contract,2022 TY,"$15,750",Itemized,"$27,000","$2,250",Head of Household,2-page,3.00%,Simple,On time,Yes,Yes,0.0,5 stars,7,5,0 dependents,"$44,850",$0,Yes
River Desk,Online,Self-employed,2023 TY,"$17,150",Itemized,"$91,490","$5,720",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,9394.1,5 stars,2,17,0 dependents,"$59,740",$0,Yes
Harbor Desk,Online,Wages,2023 TY,"$58,790",Standard,"$1,920","$3,200",Married Separate,8-page,4.75%,Schedule-heavy,On time,No,No,9449.45,4 stars,4,12,0 dependents,"$13,850",$200,Yes
Central Desk,Online,Self-employed,2022 TY,"$3,000",Itemized,"$15,990","$1,000",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,0.0,5 stars,7,2,3 dependents,"$41,260","$4,800",Yes
Harbor Desk,Online,Self-employed,2023 TY,"$23,370",Standard,"$124,650","$7,790",Single,2-page,6.20%,Simple,On time,Yes,No,36590.98,5 stars,11,17,0 dependents,"$13,850",$0,Yes
North Desk,Online,Investment,2022 TY,"$19,300",Itemized,"$9,650","$67,550",Married Separate,2-page,3.00%,Simple,On time,Yes,No,7095.16,5 stars,5,10,0 dependents,"$19,190",$200,Yes
Delta Desk,Preparer,Pension,2019 TY,"$46,030",Standard,$0,"$8,120",Single,2-page,5.50%,Simple,On time,Yes,No,4573.76,5 stars,0,6,1 dependent,"$13,850","$1,600",Yes
Central Desk,Walk-in,Self-employed,2020 TY,"$12,810",Standard,"$68,310","$4,270",Single,2-page,6.20%,Simple,On time,Yes,No,16284.62,5 stars,1,9,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Mixed,2019 TY,"$36,830",Standard,"$16,740","$13,390",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,No,430.1,5 stars,0,12,3 dependents,"$27,700","$4,800",Yes
River Desk,Preparer,Wages,2021 TY,"$40,980",Standard,"$1,340","$2,230",Married Separate,2-page,4.75%,Simple,On time,Yes,No,3603.86,5 stars,1,4,3 dependents,"$13,850",$0,Yes
North Desk,Online,Self-employed,2022 TY,"$22,110",Itemized,"$117,900","$7,370",Head of Household,8-page,3.00%,Schedule-heavy,On time,Yes,No,25948.11,5 stars,4,21,0 dependents,"$24,830",$0,Yes
Harbor Desk,Preparer,Farm,2021 TY,"$22,030",Itemized,"$61,670","$4,410",Single,2-page,0.00%,Simple,On time,Yes,No,7408.44,5 stars,3,9,1 dependent,"$21,240","$2,000",No
Capitol Desk,Walk-in,Mixed,2022 TY,"$56,460",Standard,"$25,660","$20,530",Single,2-page,6.20%,Simple,2-year amend,Yes,Yes,18567.03,4 stars,4,11,0 dependents,"$13,850",$0,Yes
River Desk,Online,Self-employed,2022 TY,"$13,760",Itemized,"$73,400","$4,590",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,No,12414.34,5 stars,9,15,0 dependents,"$25,200",$0,Yes
Delta Desk,Online,Mixed,2023 TY,"$26,350",Itemized,"$11,980","$9,580",Single,2-page,0.00%,Simple,On time,Yes,No,2768.2,5 stars,5,5,0 dependents,"$23,840",$0,No
River Desk,Preparer,Investment,2023 TY,"$32,890",Itemized,"$16,440","$115,100",Single,2-page,7.00%,Simple,3-year amend,Yes,Yes,23314.88,4 stars,10,18,0 dependents,"$21,020",$0,Yes
Central Desk,Online,Royalty,2021 TY,"$4,660",Itemized,"$9,320","$32,610",Single,2-page,5.50%,Simple,3-year amend,Yes,No,2300.6,4 stars,8,5,0 dependents,"$17,260",$0,Yes
Capitol Desk,Preparer,Wages,2021 TY,"$63,290",Itemized,"$2,060","$3,440",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,Yes,3565.55,5 stars,2,12,1 dependent,"$30,080","$1,600",Yes
Prairie Desk,Online,Wages,2022 TY,"$20,840",Itemized,$680,"$1,130",Head of Household,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,11,2,0 dependents,"$28,380",$0,Yes
Capitol Desk,Online,Mixed,2022 TY,"$9,230",Standard,"$4,190","$3,350",Married Separate,16-page,7.00%,Audit-ready,No filing yet,Yes,No,0.0,3 stars,9,6,0 dependents,"$13,850",$0,Yes
Delta Desk,Preparer,Mixed,2021 TY,"$48,150",Standard,"$21,890","$17,510",Married Joint,16-page,3.00%,Audit-ready,3-year amend,Yes,No,6213.27,3 stars,15,14,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Preparer,Mixed,2021 TY,"$29,550",Standard,"$13,430","$10,750",Single,8-page,3.00%,Schedule-heavy,No filing yet,Yes,No,4155.17,4 stars,5,10,1 dependent,"$13,850",$0,Yes
Prairie Desk,Preparer,Wages,2023 TY,"$13,120",Standard,$430,$710,Single,2-page,6.20%,Simple,On time,Yes,No,818.43,5 stars,10,1,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Wages,2023 TY,"$68,980",Standard,"$2,250","$3,750",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,No,7362.27,5 stars,8,13,0 dependents,"$27,700",$0,Yes
Capitol Desk,Walk-in,Mixed,2020 TY,"$77,880",Standard,"$35,400","$28,320",Single,2-page,4.75%,Simple,3-year amend,No,Yes,26675.38,3 stars,2,15,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Mixed,2022 TY,"$65,830",Standard,"$29,920","$23,940",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,16915.22,5 stars,9,18,0 dependents,"$13,850",$0,No
Highland Desk,Walk-in,Self-employed,2023 TY,"$9,260",Standard,"$49,390","$3,090",Single,2-page,3.00%,Simple,On time,Yes,No,4060.43,5 stars,8,6,2 dependents,"$13,850","$3,200",Yes
River Desk,Online,Self-employed,2019 TY,"$10,700",Standard,"$57,050","$3,570",Single,2-page,6.20%,Simple,No filing yet,Yes,Yes,4833.53,4 stars,10,7,3 dependents,"$13,850","$4,800",Yes
Delta Desk,Online,Self-employed,2023 TY,"$15,440",Standard,"$82,370","$5,150",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,15924.62,5 stars,2,11,0 dependents,"$27,700",$0,Yes
Delta Desk,Preparer,Investment,2020 TY,"$31,270",Itemized,"$15,640","$109,450",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,13967.23,5 stars,10,22,0 dependents,"$45,960",$0,Yes
Harbor Desk,Online,Self-employed,2022 TY,"$8,790",Standard,"$46,910","$2,930",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,5437.98,5 stars,9,11,2 dependents,"$13,850",$0,No
Capitol Desk,Walk-in,Mixed,2022 TY,"$43,460",Itemized,"$19,760","$15,810",Married Joint,2-page,5.50%,Simple,On time,Yes,No,4529.24,5 stars,4,8,1 dependent,"$44,400",$0,Yes
Capitol Desk,Online,Self-employed,2019 TY,"$12,270",Standard,"$65,460","$4,090",Married Separate,2-page,5.50%,Simple,On time,No,Yes,13004.99,4 stars,4,9,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,2023 TY,"$69,270",Itemized,"$2,260","$3,760",Married Separate,8-page,4.75%,Schedule-heavy,On time,Yes,No,7598.99,5 stars,3,13,0 dependents,"$30,370",$0,Yes
North Desk,Online,Wages,2022 TY,"$54,100",Itemized,"$1,760","$2,940",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,No,4043.45,5 stars,5,11,1 dependent,"$25,200",$0,Yes
North Desk,Preparer,Mixed,Not Available,"$40,920",Standard,"$18,600","$14,880",Married Joint,8-page,7.00%,Schedule-heavy,On time,Yes,No,4963.49,5 stars,10,13,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Preparer,Pension,2021 TY,"$59,570",Standard,$0,"$10,510",Head of Household,2-page,3.00%,Simple,On time,Yes,No,7341.12,5 stars,10,7,0 dependents,"$20,800",$0,Yes
Highland Desk,Online,Self-employed,2023 TY,"$17,180",Standard,"$91,630","$5,730",Single,8-page,5.50%,Schedule-heavy,2-year amend,Yes,Yes,23648.15,4 stars,5,17,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Wages,Not Available,"$67,580",Standard,"$2,200","$3,670",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,11378.06,5 stars,1,13,0 dependents,"$13,850",$200,Yes
Central Desk,Online,Mixed,2022 TY,"$71,270",Standard,"$32,390","$25,910",Single,2-page,5.50%,Simple,3-year amend,Yes,No,24210.78,4 stars,4,14,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Wages,2021 TY,"$48,510",Standard,"$1,580","$2,640",Married Joint,2-page,6.20%,Simple,On time,Yes,No,1430.21,5 stars,7,5,1 dependent,"$27,700","$1,600",Yes
Central Desk,Preparer,Self-employed,2023 TY,"$19,410",Standard,"$103,540","$6,470",Married Joint,2-page,5.50%,Simple,On time,Yes,No,20321.73,5 stars,3,14,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Preparer,Pension,2022 TY,"$48,180",Standard,$0,"$8,500",Single,2-page,4.75%,Simple,No filing yet,Yes,Yes,4384.91,4 stars,14,6,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Mixed,Not Available,"$96,870",Itemized,"$44,030","$35,230",Married Separate,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,27846.72,4 stars,14,24,0 dependents,"$18,870",$0,No
Highland Desk,Online,Mixed,2022 TY,"$23,220",Standard,"$10,560","$8,450",Single,2-page,5.50%,Simple,On time,Yes,No,3920.79,5 stars,2,4,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Wages,2021 TY,"$41,820",Standard,"$1,360","$2,270",Single,2-page,0.00%,Simple,On time,Yes,Yes,813.95,5 stars,8,5,2 dependents,"$13,850","$3,200",No
Delta Desk,Online,Mixed,2020 TY,"$49,810",Standard,"$22,640","$18,110",Single,2-page,0.00%,Simple,On time,Yes,No,8854.45,5 stars,9,10,1 dependent,"$13,850","$1,600",No
Prairie Desk,Online,Pension,2023 TY,"$46,200",Standard,$0,"$8,150",Married Joint,8-page,4.75%,Schedule-heavy,On time,No,Yes,3676.29,4 stars,11,11,0 dependents,"$27,700",$0,Yes
North Desk,Preparer,Self-employed,Not Available,"$21,180",Itemized,"$112,960","$7,060",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,25126.62,5 stars,8,20,0 dependents,"$27,870",$0,Yes
Central Desk,Online,Mixed,2019 TY,"$31,870",Standard,"$14,490","$11,590",Single,2-page,7.00%,Simple,On time,No,No,2579.26,4 stars,4,6,2 dependents,"$13,850","$3,200",Yes
North Desk,Online,Wages,2023 TY,"$77,020",Standard,"$2,510","$4,190",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,12061.28,5 stars,11,14,2 dependents,"$13,850",$0,Yes
North Desk,Online,Wages,Not Available,"$82,710",Standard,"$2,700","$4,490",Married Separate,2-page,6.20%,Simple,No filing yet,Yes,Yes,14538.36,4 stars,3,9,2 dependents,"$13,850",$0,Yes
River Desk,Preparer,Wages,2019 TY,"$72,600",Standard,"$2,370","$3,950",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,8328.11,5 stars,9,13,1 dependent,"$20,800","$1,600",Yes
Capitol Desk,Online,Wages,2020 TY,"$35,820",Standard,"$1,170","$1,950",Married Joint,8-page,4.75%,Schedule-heavy,No filing yet,Yes,No,0.0,4 stars,9,9,1 dependent,"$27,700","$2,400",Yes
Capitol Desk,Preparer,Wages,2023 TY,"$88,120",Standard,"$2,870","$4,790",Married Joint,2-page,7.00%,Simple,No filing yet,Yes,Yes,13738.71,4 stars,15,10,1 dependent,"$27,700",$0,Yes
Prairie Desk,Online,Contract,2023 TY,"$35,500",Standard,"$60,850","$5,070",Head of Household,16-page,4.75%,Audit-ready,3-year amend,Yes,No,16753.17,3 stars,9,16,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Mixed,2019 TY,"$52,790",Itemized,"$24,000","$19,200",Qualifying Widow,2-page,6.20%,Simple,On time,No,No,9071.33,4 stars,7,10,1 dependent,"$40,500",$0,Yes
Capitol Desk,Preparer,Wages,2023 TY,"$61,550",Standard,"$2,010","$3,350",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,6128.39,5 stars,2,12,1 dependent,"$27,700",$800,Yes
North Desk,Online,Wages,2022 TY,"$62,030",Standard,"$2,020","$3,370",Head of Household,2-page,3.00%,Simple,On time,Yes,No,6115.02,5 stars,2,7,0 dependents,"$20,800",$800,Yes
Harbor Desk,Online,Wages,2023 TY,"$55,300",Standard,"$1,800","$3,010",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,876.08,5 stars,11,11,3 dependents,"$20,800","$4,800",Yes
River Desk,Online,Investment,2023 TY,"$26,260",Itemized,"$13,130","$91,920",Married Separate,2-page,3.00%,Simple,On time,No,Yes,14639.16,4 stars,9,14,0 dependents,"$18,850",$0,Yes
Prairie Desk,Preparer,Wages,2023 TY,"$57,730",Standard,"$1,880","$3,140",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,No,4703.6,4 stars,9,6,0 dependents,"$27,700",$0,No
North Desk,Online,Investment,2022 TY,"$10,780",Standard,"$5,390","$37,710",Single,2-page,3.00%,Simple,On time,Yes,No,1605.96,5 stars,10,5,0 dependents,"$13,850",$400,Yes
Highland Desk,Preparer,Investment,2021 TY,"$8,690",Standard,"$4,350","$30,430",Single,16-page,3.00%,Audit-ready,On time,Yes,No,0.0,4 stars,9,9,2 dependents,"$13,850","$3,200",Yes
River Desk,Online,Wages,2022 TY,"$40,440",Standard,"$1,320","$2,200",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,No,0.0,4 stars,9,4,3 dependents,"$27,700","$4,800",Yes
North Desk,Online,Self-employed,2020 TY,"$11,850",Standard,"$63,200","$3,950",Married Joint,2-page,6.20%,Simple,No filing yet,Yes,No,6950.81,4 stars,13,8,1 dependent,"$27,700","$1,600",Yes
Central Desk,Online,Farm,2023 TY,"$13,780",Standard,"$38,600","$2,760",Married Joint,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,9,6,3 dependents,"$27,700","$4,800",Yes
Prairie Desk,Online,Wages,2020 TY,"$61,790",Itemized,"$2,020","$3,360",Married Joint,8-page,6.20%,Schedule-heavy,On time,No,No,0.0,4 stars,5,12,2 dependents,"$48,900","$3,200",Yes
River Desk,Preparer,Wages,2022 TY,"$68,100",Itemized,"$2,220","$3,700",Married Joint,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,0,8,2 dependents,"$51,920","$3,200",Yes
Harbor Desk,Online,Contract,2019 TY,"$17,300",Standard,"$29,660","$2,470",Head of Household,2-page,0.00%,Simple,No filing yet,Yes,No,2872.69,4 stars,13,5,2 dependents,"$20,800",$0,No
Prairie Desk,Walk-in,Pension,2021 TY,"$60,730",Itemized,$0,"$10,720",Single,16-page,3.00%,Audit-ready,On time,Yes,No,5923.46,4 stars,4,12,0 dependents,"$27,390",$0,Yes
Central Desk,Online,Mixed,2021 TY,"$38,480",Standard,"$17,490","$13,990",Single,2-page,7.00%,Simple,On time,Yes,No,6105.07,5 stars,4,7,2 dependents,"$13,850","$3,200",Yes
Prairie Desk,Online,Mixed,2023 TY,"$35,750",Standard,"$16,250","$13,000",Married Separate,2-page,5.50%,Simple,On time,Yes,No,5990.01,5 stars,8,7,1 dependent,"$13,850","$1,600",Yes
Harbor Desk,Online,Wages,2023 TY,"$67,690",Itemized,"$2,210","$3,680",Head of Household,8-page,7.00%,Schedule-heavy,On time,Yes,Yes,2157.62,5 stars,9,13,2 dependents,"$39,550","$3,200",Yes
