aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
A330-300,AIRBUS,2016,"14,017 hrs","8,358 cycles",PW4000,"8,960 hrs","6,563 cycles",Fresh D-Check,OEM Managed,Owned,Asia-Pacific,Yes,Yes,None,Fair,277 seats,2 ADs,32,37.1,"1,205 kg/hr",83364000.0,64408000.0,66453000.0
A320neo,Airbus,2021,"10,428 hrs","6,668 cycles",PW1100G,131 hrs,64 cycles,Fresh C-Check,OEM Managed,Owned,North America,No,Yes,None,Good,180 seats,1 ADs,56,59.5,900 kg/hr,51387000.0,52093000.0,50660000.0
A330-300,Airbus,2002,"81,990 hrs","53,390 cycles",Trent 700,"1,596 hrs","1,118 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Africa,Yes,No,None,Excellent,277 seats,0 ADs,32,7.0,"2,970 kg/hr",20719000.0,19537000.0,19140000.0
ATR 72-600,ATR,1999,"96,715 hrs","47,127 cycles",PW127M,"2,291 hrs","1,115 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Poor,70 seats,3 ADs,6,32.0,"4,067 kg/hr",3830000.0,3639000.0,3885000.0
A350-900,airbus,1999,"74,534 hrs","35,360 cycles",Trent XWB,"8,773 hrs","4,219 cycles",Fresh C-Check,Hourly Inspection,On Lease,Africa,Yes,No,None,Good,325 seats,0 ADs,15,77.5,"3,094 kg/hr",31459000.0,29557000.0,30868000.0
A350-900,Airbus,2016,"24,347 hrs","14,302 cycles",Trent XWB,"2,810 hrs","1,372 cycles",C-Check Due,MSG-3,Owned,Middle East,No,Yes,None,Good,325 seats,Not Reported,40,43.1,"1,648 kg/hr",114348000.0,81385000.0,82167000.0
A350-900,AIRBUS,2002,"55,081 hrs","28,374 cycles",Trent XWB,"7,508 hrs","5,569 cycles",Fresh D-Check,OEM Managed,Off Lease,North America,No,No,None,Excellent,325 seats,0 ADs,40,70.9,"3,589 kg/hr",40106000.0,36140000.0,38539000.0
E175,Embraer,2019,"16,533 hrs","11,980 cycles",CF34-8E,"2,685 hrs","1,405 cycles",Fresh D-Check,MSG-3,Owned,Latin America,Yes,No,None,Good,76 seats,1 ADs,1,76.7,"4,308 kg/hr",27705000.0,26526000.0,26354000.0
A320-200,AIRBUS,2005,"64,399 hrs","36,021 cycles",CFM56-5B,"6,226 hrs","4,292 cycles",Fresh C-Check,Hourly Inspection,Owned,Asia-Pacific,Yes,No,None,Excellent,180 seats,4 ADs,53,24.7,"1,738 kg/hr",11525000.0,10532000.0,10896000.0
A320neo,AIRBUS,2012,"27,957 hrs","18,242 cycles",LEAP-1A,"7,554 hrs","3,474 cycles",Fresh D-Check,MSG-3,Owned,North America,Yes,No,None,Fair,180 seats,1 ADs,51,58.5,"2,616 kg/hr",30170000.0,28337000.0,29386000.0
CRJ900,bombardier,2012,"48,033 hrs","23,211 cycles",CF34-8C5,"8,914 hrs","6,176 cycles",D-Check Due,Hourly Inspection,Owned,North America,Yes,No,None,Excellent,76 seats,1 ADs,14,81.2,"1,787 kg/hr",9023000.0,10404000.0,9929000.0
ATR 72-600,atr,2012,"39,120 hrs","26,456 cycles",PW127M,"6,101 hrs","3,917 cycles",Fresh C-Check,MSG-3,Owned,Latin America,Yes,No,None,Excellent,70 seats,2 ADs,0,49.0,"2,504 kg/hr",13289000.0,10028000.0,10845000.0
CRJ900,bombardier,2012,"30,943 hrs","22,905 cycles",CF34-8C5,"4,756 hrs","3,077 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,Yes,Minor,Excellent,76 seats,0 ADs,29,47.5,"2,873 kg/hr",13420000.0,13332000.0,12594000.0
E175,Embraer,2012,"36,722 hrs","21,282 cycles",CF34-8E,"6,747 hrs","4,747 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Fair,76 seats,1 ADs,22,43.8,"2,269 kg/hr",11177000.0,12387000.0,11405000.0
E175,embraer,2007,"48,554 hrs","24,164 cycles",CF34-8E,"3,192 hrs","1,782 cycles",D-Check Due,OEM Managed,Off Lease,Asia-Pacific,Yes,No,None,Good,76 seats,1 ADs,45,13.4,"2,023 kg/hr",7157000.0,7540000.0,6644000.0
747-8F,Boeing,2019,"21,205 hrs","17,539 cycles",GEnx-2B,"6,254 hrs","3,899 cycles",C-Check Due,MSG-3,Owned,Latin America,No,Yes,None,Excellent,Freighter (0 seats),0 ADs,26,28.0,"2,040 kg/hr",99008000.0,100822000.0,95228000.0
747-8F,Boeing,2005,"67,682 hrs","44,121 cycles",GEnx-2B,"8,241 hrs","3,531 cycles",Fresh C-Check,OEM Managed,Owned,Asia-Pacific,Yes,Yes,None,Good,Freighter (0 seats),1 ADs,44,73.6,"2,676 kg/hr",44070000.0,41983000.0,40677000.0
A330-300,airbus,2021,"7,346 hrs","5,634 cycles",CF6-80E1,"1,713 hrs",806 cycles,D-Check Due,Hourly Inspection,On Lease,Asia-Pacific,No,No,None,Fair,277 seats,0 ADs,32,24.7,"3,136 kg/hr",76097000.0,70338000.0,70587000.0
A320-200,Airbus,2022,"9,028 hrs","5,488 cycles",V2500,194 hrs,149 cycles,Fresh C-Check,MSG-3,On Lease,Europe,Yes,No,Minor,Good,180 seats,0 ADs,12,48.5,"2,772 kg/hr",41163000.0,44877000.0,43829000.0
A320neo,airbus,2003,"65,448 hrs","44,472 cycles",PW1100G,"2,654 hrs","1,509 cycles",C-Check Due,Hourly Inspection,Off Lease,North America,Yes,Yes,None,Good,180 seats,0 ADs,32,23.8,900 kg/hr,11086000.0,11723000.0,10586000.0
E175,Embraer,1998,"89,298 hrs","40,752 cycles",CF34-8E,"7,580 hrs","3,525 cycles",Fresh D-Check,MSG-3,On Lease,Europe,Yes,No,None,Poor,76 seats,0 ADs,49,49.7,"2,180 kg/hr",5883000.0,5330000.0,5103000.0
E175,embraer,2010,"36,095 hrs","17,655 cycles",CF34-8E,"5,312 hrs","2,805 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,No,None,Fair,76 seats,2 ADs,29,44.0,"1,540 kg/hr",14120000.0,12700000.0,12289000.0
A350-900,Airbus,2017,"24,390 hrs","14,359 cycles",Trent XWB,"4,027 hrs","2,200 cycles",D-Check Due,MSG-3,Owned,Europe,Yes,Yes,None,Poor,325 seats,0 ADs,31,54.3,"2,755 kg/hr",77385000.0,77319000.0,69187000.0
A350-900,Airbus,1999,"93,816 hrs","50,712 cycles",Trent XWB,"3,176 hrs","1,325 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,No,None,Excellent,325 seats,2 ADs,54,59.9,"2,664 kg/hr",31807000.0,27382000.0,24619000.0
737-800,BOEING,2022,"9,921 hrs","6,160 cycles",CFM56-7B,"7,197 hrs","3,602 cycles",C-Check Due,OEM Managed,On Lease,Middle East,No,No,Minor,Good,189 seats,0 ADs,19,34.0,"2,813 kg/hr",33295000.0,35373000.0,34479000.0
737-800,boeing,2005,"45,330 hrs","24,699 cycles",CFM56-7B,"2,745 hrs","1,729 cycles",Fresh C-Check,MSG-3,Off Lease,Middle East,Yes,No,None,Good,189 seats,1 ADs,15,48.5,"2,969 kg/hr",16760000.0,13850000.0,12727000.0
A320-200,airbus,2016,"22,802 hrs","11,552 cycles",V2500,"8,269 hrs","4,589 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,None,Excellent,180 seats,1 ADs,26,83.5,"3,978 kg/hr",26629000.0,36920000.0,37052000.0
E175,Embraer,2001,"52,467 hrs","39,780 cycles",CF34-8E,"4,259 hrs","2,402 cycles",C-Check Due,MSG-3,Off Lease,Europe,Yes,Yes,Minor,Fair,76 seats,1 ADs,42,62.5,"2,424 kg/hr",7698000.0,6178000.0,6282000.0
747-8F,BOEING,1999,"62,198 hrs","32,607 cycles",GEnx-2B,173 hrs,113 cycles,C-Check Due,OEM Managed,Owned,Middle East,No,Yes,None,Good,Freighter (0 seats),Not Reported,44,57.7,"1,775 kg/hr",30806000.0,28406000.0,27633000.0
A330-300,airbus,2020,"14,027 hrs","6,924 cycles",Trent 700,"7,670 hrs","3,750 cycles",Fresh C-Check,MSG-3,Off Lease,Africa,Yes,No,None,Fair,277 seats,Not Reported,12,55.1,"2,442 kg/hr",79095000.0,75484000.0,83111000.0
747-8F,Boeing,2017,"19,407 hrs","8,752 cycles",GEnx-2B,"8,345 hrs","3,800 cycles",C-Check Due,OEM Managed,Owned,Asia-Pacific,Yes,No,None,Excellent,Freighter (0 seats),2 ADs,41,55.8,"2,087 kg/hr",114561000.0,102383000.0,101308000.0
CRJ900,bombardier,2015,"26,939 hrs","20,489 cycles",CF34-8C5,"5,473 hrs","2,573 cycles",D-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Excellent,76 seats,2 ADs,7,36.0,"2,625 kg/hr",11824000.0,12659000.0,12194000.0
747-8F,BOEING,2002,"67,724 hrs","43,231 cycles",GEnx-2B,"7,470 hrs","3,903 cycles",Fresh C-Check,MSG-3,Off Lease,Asia-Pacific,Yes,No,None,Poor,Freighter (0 seats),1 ADs,41,66.7,"2,643 kg/hr",32201000.0,31652000.0,31755000.0
777-300ER,Boeing,2012,"40,156 hrs","22,961 cycles",GE90-115B,"5,120 hrs","2,472 cycles",C-Check Due,MSG-3,On Lease,Europe,No,No,None,Excellent,396 seats,Not Reported,21,59.3,"2,651 kg/hr",46816000.0,58219000.0,54769000.0
737 MAX 8,BOEING,2017,"23,793 hrs","14,969 cycles",LEAP-1B,"1,067 hrs",536 cycles,Fresh C-Check,MSG-3,On Lease,Latin America,Yes,No,Minor,Good,178 seats,0 ADs,37,70.7,"4,341 kg/hr",38344000.0,36952000.0,36285000.0
787-9,BOEING,2012,"38,168 hrs","24,666 cycles",GEnx-1B,"7,719 hrs","3,580 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,Yes,Major,Excellent,296 seats,3 ADs,48,76.0,"1,975 kg/hr",59092000.0,52272000.0,54659000.0
787-9,boeing,2011,"44,871 hrs","25,529 cycles",GEnx-1B,"1,694 hrs",984 cycles,C-Check Due,MSG-3,Off Lease,Middle East,No,Yes,Minor,Good,296 seats,2 ADs,23,63.4,"4,547 kg/hr",52889000.0,49908000.0,50557000.0
CRJ900,bombardier,2010,"33,156 hrs","20,800 cycles",CF34-8C5,"7,413 hrs","3,308 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,No,None,Fair,76 seats,0 ADs,50,85.2,"3,009 kg/hr",10828000.0,12337000.0,11326000.0
737 MAX 8,BOEING,2008,"52,857 hrs","30,902 cycles",LEAP-1B,"3,583 hrs","1,906 cycles",C-Check Due,MSG-3,Owned,Africa,Yes,No,None,Excellent,178 seats,1 ADs,31,75.9,"3,268 kg/hr",17786000.0,18212000.0,18304000.0
ATR 72-600,atr,2009,"36,494 hrs","25,529 cycles",PW127M,841 hrs,420 cycles,Fresh C-Check,OEM Managed,Owned,Latin America,Yes,Yes,None,Good,70 seats,1 ADs,8,37.7,"3,249 kg/hr",10659000.0,9617000.0,9813000.0
A350-900,Airbus,2018,"23,385 hrs","12,065 cycles",Trent XWB,"7,351 hrs","5,398 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,Yes,Minor,Fair,325 seats,2 ADs,26,39.6,"2,658 kg/hr",95249000.0,80838000.0,88394000.0
E175,Embraer,2021,"5,457 hrs","5,504 cycles",CF34-8E,"5,457 hrs","3,877 cycles",C-Check Due,OEM Managed,On Lease,North America,No,Yes,Minor,Good,76 seats,1 ADs,54,59.1,"2,949 kg/hr",27717000.0,26208000.0,26481000.0
CRJ900,Bombardier,2007,"37,765 hrs","23,265 cycles",CF34-8C5,"8,982 hrs","6,270 cycles",C-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Excellent,76 seats,2 ADs,44,54.0,"2,848 kg/hr",9267000.0,8354000.0,9515000.0
ATR 72-600,ATR,2004,"51,898 hrs","24,658 cycles",PW127M,"6,094 hrs","3,749 cycles",Fresh C-Check,OEM Managed,Off Lease,Asia-Pacific,Yes,No,Minor,Fair,70 seats,1 ADs,28,45.2,"2,983 kg/hr",6472000.0,5542000.0,5555000.0
A320neo,AIRBUS,2022,"8,836 hrs","5,922 cycles",LEAP-1A,"7,909 hrs","4,464 cycles",D-Check Due,OEM Managed,Owned,Asia-Pacific,No,No,None,Excellent,180 seats,2 ADs,26,44.2,"1,566 kg/hr",39324000.0,39943000.0,40400000.0
A320-200,airbus,2017,"20,200 hrs","9,650 cycles",CFM56-5B,"8,891 hrs","4,534 cycles",D-Check Due,OEM Managed,On Lease,Latin America,No,Yes,None,Good,180 seats,1 ADs,1,71.7,"2,336 kg/hr",30300000.0,29140000.0,28150000.0
737-800,BOEING,2019,"19,502 hrs","8,705 cycles",CFM56-7B,"4,102 hrs","1,774 cycles",D-Check Due,Hourly Inspection,Owned,Latin America,Yes,No,None,Fair,189 seats,2 ADs,41,83.1,"2,688 kg/hr",31271000.0,29012000.0,30521000.0
A320-200,Airbus,2012,"34,747 hrs","18,120 cycles",V2500,"7,520 hrs","3,155 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,180 seats,2 ADs,54,77.6,"2,779 kg/hr",21845000.0,20110000.0,19262000.0
A320-200,AIRBUS,2003,"62,126 hrs","29,572 cycles",V2500,"1,276 hrs",548 cycles,D-Check Due,OEM Managed,Owned,Asia-Pacific,Yes,Yes,None,Good,180 seats,2 ADs,50,51.9,"4,473 kg/hr",10772000.0,9811000.0,9382000.0
ATR 72-600,atr,2017,"29,346 hrs","13,709 cycles",PW127M,"6,925 hrs","4,171 cycles",Fresh C-Check,MSG-3,Off Lease,Middle East,Yes,Yes,None,Good,70 seats,3 ADs,46,46.1,"4,185 kg/hr",12635000.0,14151000.0,14194000.0
CRJ900,Bombardier,2008,"61,367 hrs","27,128 cycles",CF34-8C5,"7,693 hrs","3,386 cycles",C-Check Due,MSG-3,On Lease,Middle East,No,Yes,None,Good,76 seats,1 ADs,36,30.5,"3,084 kg/hr",6203000.0,7015000.0,7125000.0
ATR 72-600,atr,1999,"70,981 hrs","35,211 cycles",PW127M,"2,041 hrs",983 cycles,D-Check Due,MSG-3,Off Lease,Middle East,No,No,None,Good,70 seats,2 ADs,35,66.7,"3,338 kg/hr",4443000.0,3799000.0,3793000.0
737 MAX 8,BOEING,2006,"52,349 hrs","35,051 cycles",LEAP-1B,"4,146 hrs","2,894 cycles",C-Check Due,OEM Managed,Owned,Middle East,Yes,No,Minor,Good,178 seats,1 ADs,40,58.5,"1,693 kg/hr",11702000.0,14904000.0,14670000.0
A320-200,airbus,2009,"48,913 hrs","34,171 cycles",V2500,"5,777 hrs","2,886 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,No,Minor,Poor,180 seats,0 ADs,15,55.1,"2,869 kg/hr",14164000.0,14764000.0,14803000.0
777-300ER,BOEING,1999,"116,440 hrs","68,829 cycles",GE90-115B,"4,472 hrs","2,652 cycles",Fresh C-Check,OEM Managed,Owned,Africa,Yes,No,Major,Good,396 seats,1 ADs,7,51.5,"1,453 kg/hr",18040000.0,18069000.0,18481000.0
A350-900,AIRBUS,2006,"63,510 hrs","40,029 cycles",Trent XWB,"5,602 hrs","2,382 cycles",D-Check Due,MSG-3,Owned,North America,No,Yes,None,Good,325 seats,2 ADs,56,39.5,"2,504 kg/hr",27229000.0,29320000.0,28043000.0
787-9,Boeing,2006,"48,258 hrs","33,845 cycles",Trent 1000,"7,747 hrs","5,022 cycles",D-Check Due,OEM Managed,On Lease,Asia-Pacific,Yes,Yes,None,Good,296 seats,1 ADs,18,28.9,"3,363 kg/hr",36685000.0,36548000.0,29633000.0
737-800,boeing,2021,"8,786 hrs","7,872 cycles",CFM56-7B,"3,618 hrs","2,211 cycles",D-Check Due,Hourly Inspection,On Lease,North America,Yes,No,Minor,Excellent,189 seats,3 ADs,3,41.4,"1,966 kg/hr",30475000.0,31818000.0,29638000.0
CRJ900,bombardier,2006,"63,733 hrs","30,346 cycles",CF34-8C5,"2,503 hrs","1,709 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,No,Yes,None,Excellent,76 seats,1 ADs,12,91.1,"2,635 kg/hr",7881000.0,9183000.0,9267000.0
787-9,BOEING,2014,"33,324 hrs","20,883 cycles",Trent 1000,"6,197 hrs","3,364 cycles",Fresh C-Check,Hourly Inspection,Owned,Asia-Pacific,Yes,Yes,Minor,Fair,296 seats,1 ADs,46,45.9,"4,718 kg/hr",77795000.0,64787000.0,69476000.0
A320-200,airbus,2019,"19,365 hrs","9,061 cycles",CFM56-5B,"4,097 hrs","2,051 cycles",Fresh C-Check,MSG-3,On Lease,North America,Yes,No,None,Poor,180 seats,1 ADs,46,57.6,"1,554 kg/hr",40089000.0,33086000.0,32474000.0
787-9,BOEING,2015,"19,778 hrs","12,032 cycles",GEnx-1B,"2,768 hrs","1,237 cycles",Fresh C-Check,Hourly Inspection,Owned,Europe,Yes,Yes,None,Excellent,296 seats,Not Reported,7,71.1,"2,114 kg/hr",85890000.0,88816000.0,96460000.0
737-800,boeing,2013,"40,842 hrs","19,484 cycles",CFM56-7B,"8,070 hrs","5,294 cycles",D-Check Due,MSG-3,Off Lease,Asia-Pacific,No,Yes,None,Fair,189 seats,1 ADs,27,62.4,"2,597 kg/hr",16737000.0,17894000.0,16980000.0
777-300ER,BOEING,1998,"64,239 hrs","40,751 cycles",GE90-115B,"4,981 hrs","2,894 cycles",C-Check Due,Hourly Inspection,Owned,North America,Yes,Yes,None,Poor,396 seats,0 ADs,8,48.8,"2,828 kg/hr",24476000.0,19091000.0,19577000.0
787-9,boeing,2002,"91,930 hrs","62,202 cycles",GEnx-1B,"1,787 hrs","1,101 cycles",D-Check Due,Hourly Inspection,Owned,North America,No,No,None,Fair,296 seats,1 ADs,27,48.3,"3,080 kg/hr",21942000.0,24608000.0,23295000.0
A320-200,AIRBUS,2010,"54,398 hrs","38,169 cycles",CFM56-5B,"6,801 hrs","3,922 cycles",C-Check Due,OEM Managed,Owned,Europe,Yes,No,None,Excellent,180 seats,3 ADs,52,73.0,"3,534 kg/hr",17159000.0,16128000.0,17634000.0
ATR 72-600,ATR,2007,"45,842 hrs","21,568 cycles",PW127M,"4,971 hrs","2,088 cycles",C-Check Due,MSG-3,Owned,Latin America,Yes,No,None,Good,70 seats,1 ADs,51,58.5,"3,732 kg/hr",7657000.0,7620000.0,7633000.0
777-300ER,boeing,2003,"58,727 hrs","25,058 cycles",GE90-115B,"6,217 hrs","4,344 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,396 seats,1 ADs,25,69.1,"2,896 kg/hr",36201000.0,28612000.0,32908000.0
737 MAX 8,boeing,2006,"60,021 hrs","37,748 cycles",LEAP-1B,"2,603 hrs","1,438 cycles",D-Check Due,MSG-3,On Lease,Middle East,No,No,None,Good,178 seats,3 ADs,19,47.2,"1,100 kg/hr",13520000.0,11879000.0,13000000.0
777-300ER,BOEING,2005,"55,224 hrs","26,436 cycles",GE90-115B,"4,276 hrs","1,838 cycles",Fresh C-Check,MSG-3,Off Lease,Europe,No,No,None,Excellent,396 seats,0 ADs,35,43.0,"2,518 kg/hr",33066000.0,32718000.0,37284000.0
777-300ER,boeing,2016,"21,679 hrs","8,984 cycles",GE90-115B,"2,751 hrs","1,502 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Good,396 seats,0 ADs,13,40.6,"2,995 kg/hr",70423000.0,72667000.0,67966000.0
E175,Embraer,2011,"42,174 hrs","27,868 cycles",CF34-8E,"5,277 hrs","2,415 cycles",C-Check Due,OEM Managed,Off Lease,Europe,Yes,No,None,Poor,76 seats,2 ADs,14,47.9,"4,231 kg/hr",11981000.0,10309000.0,11221000.0
737-800,BOEING,2012,"30,167 hrs","14,767 cycles",CFM56-7B,"4,890 hrs","2,916 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,Yes,No,None,Good,189 seats,1 ADs,39,98.9,"2,685 kg/hr",28247000.0,24952000.0,26831000.0
787-9,BOEING,2021,"11,308 hrs","9,070 cycles",GEnx-1B,"7,568 hrs","5,266 cycles",Fresh C-Check,MSG-3,On Lease,Europe,Yes,Yes,None,Excellent,296 seats,1 ADs,7,42.9,"2,065 kg/hr",162616000.0,118482000.0,127402000.0
777-300ER,boeing,2002,"49,971 hrs","23,996 cycles",GE90-115B,"3,095 hrs","1,667 cycles",D-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,396 seats,1 ADs,48,54.8,"4,184 kg/hr",33808000.0,26104000.0,25730000.0
A320neo,airbus,2004,"45,775 hrs","28,126 cycles",LEAP-1A,"7,090 hrs","4,012 cycles",C-Check Due,Hourly Inspection,Owned,Latin America,Yes,No,None,Excellent,180 seats,0 ADs,57,60.4,"3,964 kg/hr",18027000.0,16247000.0,15323000.0
A320-200,airbus,2001,"73,470 hrs","44,759 cycles",V2500,"3,789 hrs","1,864 cycles",Fresh D-Check,MSG-3,On Lease,Europe,Yes,Yes,Minor,Good,180 seats,0 ADs,35,49.7,"2,070 kg/hr",13754000.0,9552000.0,10813000.0
A350-900,Airbus,2017,"25,986 hrs","10,503 cycles",Trent XWB,"8,524 hrs","6,318 cycles",Fresh D-Check,Hourly Inspection,On Lease,Latin America,Yes,Yes,None,Good,325 seats,2 ADs,41,52.4,"2,856 kg/hr",88201000.0,98811000.0,94736000.0
E175,Embraer,2016,"24,898 hrs","16,332 cycles",CF34-8E,"1,177 hrs",582 cycles,Fresh D-Check,MSG-3,On Lease,Africa,Yes,Yes,None,Good,76 seats,2 ADs,40,43.1,"2,667 kg/hr",23691000.0,21469000.0,21660000.0
777-300ER,boeing,2002,"81,789 hrs","50,911 cycles",GE90-115B,"8,035 hrs","5,587 cycles",C-Check Due,Hourly Inspection,On Lease,Middle East,Yes,No,None,Good,396 seats,1 ADs,59,78.0,"3,107 kg/hr",25036000.0,26756000.0,27865000.0
A330-300,Airbus,1999,"84,948 hrs","46,768 cycles",CF6-80E1,"4,150 hrs","3,101 cycles",Fresh D-Check,MSG-3,Owned,Asia-Pacific,No,No,Minor,Fair,277 seats,0 ADs,29,46.6,"2,956 kg/hr",20971000.0,18419000.0,18402000.0
CRJ900,bombardier,2019,"17,771 hrs","7,373 cycles",CF34-8C5,"6,648 hrs","3,338 cycles",C-Check Due,Hourly Inspection,On Lease,Africa,No,Yes,None,Excellent,76 seats,1 ADs,51,5.0,"2,211 kg/hr",20261000.0,17211000.0,16749000.0
A320-200,airbus,2008,"46,839 hrs","22,744 cycles",V2500,"7,678 hrs","4,245 cycles",C-Check Due,MSG-3,Owned,Latin America,Yes,No,None,Fair,180 seats,0 ADs,44,50.4,"3,436 kg/hr",13265000.0,15021000.0,15356000.0
CRJ900,Bombardier,2017,"20,431 hrs","9,388 cycles",CF34-8C5,"1,048 hrs",656 cycles,D-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Good,76 seats,1 ADs,41,46.2,"3,736 kg/hr",18527000.0,14669000.0,15538000.0
737-800,boeing,2000,"76,672 hrs","48,246 cycles",CFM56-7B,"5,222 hrs","2,678 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,189 seats,1 ADs,4,45.8,"1,289 kg/hr",7436000.0,7749000.0,7614000.0
CRJ900,Bombardier,1998,"81,617 hrs","46,471 cycles",CF34-8C5,492 hrs,368 cycles,D-Check Due,Hourly Inspection,On Lease,Africa,Yes,Yes,None,Fair,76 seats,0 ADs,19,61.2,"1,811 kg/hr",4539000.0,4409000.0,4221000.0
A350-900,AIRBUS,2021,"6,296 hrs","8,498 cycles",Trent XWB,768 hrs,327 cycles,Fresh D-Check,Hourly Inspection,Owned,Middle East,Yes,No,None,Fair,325 seats,Not Reported,43,76.1,"3,323 kg/hr",143283000.0,146741000.0,137649000.0
E175,Embraer,1998,"69,163 hrs","35,559 cycles",CF34-8E,"8,630 hrs","5,056 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Good,76 seats,0 ADs,48,57.8,"3,257 kg/hr",5451000.0,5552000.0,5132000.0
A350-900,airbus,2020,"15,844 hrs","8,846 cycles",Trent XWB,"4,443 hrs","2,033 cycles",Fresh C-Check,MSG-3,Owned,Africa,Yes,No,None,Fair,325 seats,3 ADs,13,37.0,"3,797 kg/hr",116005000.0,107983000.0,107216000.0
ATR 72-600,atr,2008,"35,787 hrs","28,195 cycles",PW127M,"7,474 hrs","3,288 cycles",Fresh C-Check,OEM Managed,Owned,Latin America,Yes,No,None,Fair,70 seats,1 ADs,47,67.3,"2,100 kg/hr",10828000.0,9636000.0,8728000.0
737 MAX 8,BOEING,2014,"32,720 hrs","15,260 cycles",LEAP-1B,"6,461 hrs","3,060 cycles",Fresh C-Check,Hourly Inspection,Owned,Europe,No,No,None,Good,178 seats,2 ADs,41,33.7,"2,212 kg/hr",22612000.0,23520000.0,25587000.0
E175,embraer,2008,"52,223 hrs","27,768 cycles",CF34-8E,"2,463 hrs","1,482 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Asia-Pacific,Yes,No,None,Good,76 seats,1 ADs,10,83.4,"1,861 kg/hr",10527000.0,10973000.0,11976000.0
737 MAX 8,Boeing,2014,"35,735 hrs","17,284 cycles",LEAP-1B,"3,808 hrs","2,136 cycles",Fresh D-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Excellent,178 seats,0 ADs,26,21.4,"3,785 kg/hr",27430000.0,25651000.0,25185000.0
737-800,Boeing,2018,"23,457 hrs","14,960 cycles",CFM56-7B,"1,714 hrs",743 cycles,D-Check Due,OEM Managed,Off Lease,Africa,Yes,No,None,Good,189 seats,3 ADs,43,77.6,"1,919 kg/hr",23602000.0,26903000.0,29196000.0
A330-300,AIRBUS,2016,"16,719 hrs","11,233 cycles",PW4000,"3,519 hrs","1,858 cycles",C-Check Due,MSG-3,Off Lease,North America,No,No,Minor,Good,277 seats,3 ADs,46,50.7,"1,417 kg/hr",61314000.0,52769000.0,49735000.0
A330-300,Airbus,2004,"57,257 hrs","23,366 cycles",Trent 700,"1,334 hrs",955 cycles,Fresh C-Check,MSG-3,Off Lease,North America,Yes,Yes,None,Good,277 seats,2 ADs,56,74.2,"2,321 kg/hr",28785000.0,27183000.0,22877000.0
737-800,Boeing,2008,"58,876 hrs","32,270 cycles",CFM56-7B,"7,518 hrs","3,580 cycles",Fresh C-Check,MSG-3,Owned,Latin America,No,No,None,Good,189 seats,0 ADs,1,27.5,"1,699 kg/hr",14999000.0,12306000.0,13093000.0
A320neo,airbus,2020,"12,365 hrs","5,517 cycles",PW1100G,"2,854 hrs","1,197 cycles",C-Check Due,MSG-3,Off Lease,North America,No,No,None,Good,180 seats,0 ADs,41,43.9,"3,655 kg/hr",46147000.0,40843000.0,42072000.0
E175,Embraer,2016,"24,370 hrs","20,216 cycles",CF34-8E,"2,886 hrs","1,650 cycles",Fresh C-Check,MSG-3,Owned,North America,Yes,Yes,None,Good,76 seats,1 ADs,21,64.8,"2,668 kg/hr",21837000.0,20196000.0,19169000.0
ATR 72-600,atr,2001,"70,797 hrs","47,686 cycles",PW127M,"5,600 hrs","4,033 cycles",Fresh C-Check,MSG-3,Owned,Latin America,No,No,None,Good,70 seats,0 ADs,31,62.1,"3,414 kg/hr",5524000.0,5224000.0,5144000.0
