campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
Capitol Campus,Hybrid,History,2022 CY,15.7 hours,Elective,3.10 GPA,6.9 hours,Senior,10-week,85.5%,Lab-heavy,Late enroll,No,No,94.0,4 stars,18,6,2 partners,16 cr,7.4 hours,Yes,Small
Capitol Campus,Hybrid,Civics,2021 CY,8.4 hours,Required,3.95 GPA,2.2 hours,Graduate,16-week,98.9%,Lecture,On time,Yes,No,85.45,4 stars,9,1,0 partners,13 cr,4.9 hours,Yes,Large
Harbor Campus,Hybrid,Algebra,2022 CY,10.9 hours,Required,3.91 GPA,2.9 hours,Sophomore,12-week,96.2%,Lab-heavy,On time,Yes,No,84.99,4 stars,14,0,1 partner,15 cr,5.2 hours,Yes,Small
Delta Campus,In-person,History,2019 CY,7.1 hours,Elective,3.51 GPA,2.0 hours,Senior,16-week,68.0%,Lecture,On time,Yes,No,71.78,3 stars,11,2,3 partners,13 cr,7.4 hours,Yes,Medium
Prairie Campus,Online,Physics,2023 CY,10.8 hours,Required,3.30 GPA,5.4 hours,Junior,16-week,77.5%,Lecture,On time,No,Yes,87.07,4 stars,11,6,0 partners,15 cr,6.6 hours,Yes,Medium
Prairie Campus,Online,Civics,2020 CY,3.7 hours,Elective,3.75 GPA,1.0 hours,Junior,16-week,67.2%,Lecture,2-year retake,Yes,No,59.64,2 stars,10,6,2 partners,15 cr,6.0 hours,Yes,Medium
Capitol Campus,Online,History,2021 CY,9.1 hours,Required,3.18 GPA,2.7 hours,Graduate,16-week,91.2%,Lab-heavy,On time,Yes,No,78.0,3 stars,9,2,1 partner,9 cr,6.3 hours,Yes,Medium
Harbor Campus,Hybrid,Literature,2022 CY,8.6 hours,Elective,2.97 GPA,1.9 hours,Junior,16-week,90.1%,Lab-heavy,On time,No,No,68.85,2 stars,12,4,0 partners,13 cr,5.2 hours,Yes,Large
Prairie Campus,Hybrid,Algebra,2019 CY,15.7 hours,Elective,3.09 GPA,8.2 hours,Senior,16-week,59.0%,Studio,On time,No,Yes,84.97,4 stars,10,7,3 partners,12 cr,7.3 hours,Yes,Large
North Campus,Online,Biology,2019 CY,3.4 hours,Required,2.71 GPA,1.4 hours,Senior,16-week,83.0%,Studio,On time,Yes,No,56.29,1 star,14,5,1 partner,15 cr,5.9 hours,Yes,Medium
Delta Campus,In-person,Algebra,2023 CY,9.6 hours,Required,2.95 GPA,4.4 hours,Freshman,16-week,97.0%,Studio,On time,Yes,Yes,76.52,3 stars,11,6,2 partners,15 cr,6.2 hours,Yes,Medium
Grove Campus,In-person,Physics,2019 CY,13.2 hours,Required,2.65 GPA,5.8 hours,Junior,16-week,90.5%,Lecture,On time,Yes,No,77.74,3 stars,8,0,2 partners,13 cr,7.2 hours,No,Large
Prairie Campus,In-person,Biology,2022 CY,9.7 hours,Required,3.61 GPA,4.7 hours,Junior,10-week,90.5%,Studio,On time,Yes,Yes,82.41,4 stars,11,1,0 partners,9 cr,6.5 hours,Yes,Medium
Prairie Campus,In-person,Physics,2021 CY,8.0 hours,Elective,3.54 GPA,3.5 hours,Graduate,16-week,85.4%,Lab-heavy,On time,No,No,81.96,3 stars,16,0,0 partners,18 cr,6.0 hours,Yes,Medium
Delta Campus,In-person,Algebra,2021 CY,7.8 hours,Required,3.79 GPA,2.7 hours,Senior,16-week,72.4%,Studio,Late enroll,Yes,Yes,77.64,3 stars,13,9,0 partners,13 cr,4.6 hours,Yes,Medium
Harbor Campus,In-person,Civics,2020 CY,6.1 hours,Required,2.30 GPA,1.3 hours,Freshman,10-week,82.8%,Lecture,Late enroll,Yes,No,63.76,2 stars,8,2,1 partner,12 cr,7.2 hours,Yes,Small
Delta Campus,In-person,Civics,2023 CY,3.3 hours,Required,3.89 GPA,1.4 hours,Freshman,12-week,89.5%,Lecture,On time,Yes,No,76.42,3 stars,8,3,0 partners,12 cr,6.9 hours,No,Small
Prairie Campus,Online,Algebra,Not Available,8.5 hours,Required,2.32 GPA,3.5 hours,Freshman,16-week,92.2%,Studio,On time,Yes,Yes,75.21,3 stars,14,6,0 partners,15 cr,6.2 hours,No,Large
River Campus,In-person,Algebra,2020 CY,5.3 hours,Elective,2.61 GPA,1.4 hours,Junior,10-week,90.0%,Lecture,2-year retake,No,No,54.7,1 star,8,4,2 partners,12 cr,5.7 hours,Yes,Medium
River Campus,Hybrid,Algebra,Not Available,9.5 hours,Required,2.75 GPA,3.6 hours,Freshman,16-week,86.9%,Lecture,On time,Yes,No,68.53,2 stars,10,0,0 partners,16 cr,6.8 hours,No,Small
Delta Campus,Online,Civics,2022 CY,6.6 hours,Required,3.74 GPA,2.2 hours,Senior,16-week,90.9%,Lecture,3-year retake,Yes,No,64.43,2 stars,12,7,1 partner,15 cr,7.3 hours,Yes,Medium
River Campus,In-person,Biology,2023 CY,8.4 hours,Elective,3.25 GPA,3.3 hours,Junior,12-week,85.3%,Lecture,On time,Yes,Yes,78.33,3 stars,7,5,1 partner,9 cr,6.9 hours,No,Large
Hill Campus,In-person,Chemistry,2023 CY,7.1 hours,Elective,3.04 GPA,1.9 hours,Senior,12-week,74.6%,Lecture,On time,Yes,No,68.27,2 stars,11,7,0 partners,15 cr,8.6 hours,No,Medium
Harbor Campus,In-person,History,2023 CY,8.9 hours,Required,2.79 GPA,2.4 hours,Sophomore,12-week,93.8%,Studio,On time,Yes,No,65.68,2 stars,10,6,0 partners,12 cr,7.6 hours,Yes,Medium
Hill Campus,Hybrid,Civics,2023 CY,6.8 hours,Elective,2.53 GPA,1.3 hours,Junior,12-week,87.3%,Studio,On time,Yes,No,72.15,3 stars,7,5,0 partners,9 cr,6.7 hours,Yes,Small
Harbor Campus,In-person,Chemistry,2022 CY,5.7 hours,Required,3.54 GPA,1.2 hours,Freshman,16-week,94.0%,Studio,On time,Yes,No,66.73,2 stars,11,5,1 partner,15 cr,7.6 hours,Yes,Large
North Campus,In-person,Chemistry,2022 CY,8.8 hours,Elective,3.51 GPA,2.7 hours,Senior,16-week,76.4%,Lecture,On time,No,No,66.49,2 stars,9,7,0 partners,12 cr,6.9 hours,Yes,Large
River Campus,Hybrid,Stats,2021 CY,13.9 hours,Required,3.64 GPA,6.5 hours,Freshman,16-week,100.0%,Lecture,On time,No,Yes,93.44,4 stars,11,2,2 partners,16 cr,6.8 hours,No,Medium
Delta Campus,Hybrid,Algebra,2020 CY,9.5 hours,Required,3.21 GPA,2.6 hours,Freshman,10-week,87.1%,Lecture,2-year retake,No,No,83.33,4 stars,10,2,2 partners,15 cr,8.2 hours,Yes,Medium
Delta Campus,In-person,Civics,2023 CY,8.5 hours,Required,1.84 GPA,3.5 hours,Freshman,16-week,86.1%,Lecture,On time,Yes,Yes,57.82,1 star,8,6,0 partners,12 cr,5.8 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2019 CY,10.1 hours,Required,2.59 GPA,4.7 hours,Senior,12-week,79.6%,Lecture,On time,Yes,Yes,74.23,3 stars,14,1,2 partners,18 cr,6.8 hours,No,Large
River Campus,In-person,Chemistry,2021 CY,3.9 hours,Required,3.24 GPA,2.0 hours,Freshman,16-week,99.8%,Lab-heavy,On time,Yes,Yes,78.53,3 stars,15,8,3 partners,15 cr,8.1 hours,Yes,Large
Capitol Campus,In-person,Civics,2020 CY,10.1 hours,Required,2.98 GPA,3.9 hours,Junior,10-week,78.0%,Studio,On time,No,Yes,77.55,3 stars,8,2,0 partners,12 cr,7.1 hours,Yes,Large
River Campus,In-person,Literature,2020 CY,7.8 hours,Required,2.90 GPA,1.7 hours,Senior,16-week,100.0%,Lecture,On time,Yes,No,77.85,3 stars,11,7,3 partners,15 cr,6.4 hours,Yes,Medium
Harbor Campus,Online,Physics,2023 CY,6.1 hours,Required,2.65 GPA,2.1 hours,Senior,16-week,79.9%,Lecture,On time,Yes,No,56.16,1 star,15,2,0 partners,18 cr,4.9 hours,No,Medium
Grove Campus,Hybrid,Biology,2023 CY,8.1 hours,Required,3.46 GPA,2.7 hours,Freshman,12-week,100.0%,Lecture,On time,Yes,Yes,73.7,3 stars,8,0,1 partner,13 cr,4.3 hours,Yes,Medium
Grove Campus,In-person,History,2022 CY,7.8 hours,Required,3.24 GPA,2.2 hours,Freshman,16-week,87.2%,Lecture,On time,Yes,No,83.27,4 stars,9,4,0 partners,13 cr,9.1 hours,Yes,Large
North Campus,Online,History,2020 CY,11.7 hours,Elective,3.38 GPA,3.8 hours,Sophomore,10-week,100.0%,Lecture,On time,No,No,83.44,4 stars,13,2,2 partners,13 cr,7.1 hours,Yes,Small
Harbor Campus,In-person,Chemistry,2022 CY,12.0 hours,Elective,2.74 GPA,4.8 hours,Freshman,10-week,81.7%,Lecture,On time,Yes,No,71.62,3 stars,10,2,2 partners,12 cr,6.2 hours,No,Small
North Campus,Online,Chemistry,2021 CY,6.1 hours,Required,3.23 GPA,2.2 hours,Junior,16-week,80.2%,Lecture,Late enroll,Yes,No,72.99,3 stars,8,3,3 partners,12 cr,7.2 hours,Yes,Medium
North Campus,Online,History,2023 CY,7.4 hours,Required,2.55 GPA,3.2 hours,Sophomore,16-week,94.0%,Lecture,On time,No,No,63.98,2 stars,12,4,3 partners,15 cr,5.8 hours,Yes,Medium
Harbor Campus,Hybrid,History,2022 CY,7.5 hours,Required,3.09 GPA,2.7 hours,Sophomore,12-week,92.6%,Lab-heavy,On time,Yes,No,72.26,3 stars,15,1,0 partners,16 cr,6.4 hours,No,Large
Capitol Campus,Hybrid,Biology,2022 CY,11.7 hours,Required,1.89 GPA,3.0 hours,Freshman,12-week,91.0%,Lecture,3-year retake,Yes,No,59.19,2 stars,10,0,1 partner,15 cr,5.8 hours,Yes,Small
River Campus,In-person,History,2022 CY,9.0 hours,Elective,2.44 GPA,2.0 hours,Junior,10-week,84.1%,Lecture,On time,Yes,No,76.81,3 stars,8,3,0 partners,12 cr,5.2 hours,Yes,Medium
Hill Campus,In-person,Algebra,Not Available,10.8 hours,Required,2.88 GPA,3.0 hours,Freshman,16-week,89.8%,Lecture,On time,Yes,Yes,86.39,4 stars,13,3,0 partners,13 cr,4.5 hours,Yes,Small
Prairie Campus,In-person,Civics,2023 CY,10.8 hours,Required,4.00 GPA,2.5 hours,Junior,16-week,95.5%,Lecture,Late enroll,Yes,No,81.38,3 stars,10,4,0 partners,9 cr,5.0 hours,Yes,Medium
Hill Campus,In-person,Literature,2022 CY,7.2 hours,Required,2.22 GPA,1.4 hours,Freshman,12-week,81.9%,Lecture,On time,Yes,No,67.58,2 stars,12,5,3 partners,13 cr,7.9 hours,Yes,Medium
Hill Campus,Hybrid,Algebra,2022 CY,13.5 hours,Required,2.74 GPA,3.5 hours,Graduate,12-week,85.7%,Lab-heavy,Late enroll,No,No,71.58,3 stars,12,4,1 partner,15 cr,5.7 hours,Yes,Medium
Delta Campus,In-person,Physics,2019 CY,8.5 hours,Elective,3.25 GPA,3.1 hours,Junior,16-week,86.8%,Studio,On time,Yes,No,66.89,2 stars,13,0,0 partners,12 cr,7.4 hours,Yes,Medium
Grove Campus,Online,Civics,Not Available,6.4 hours,Required,3.83 GPA,2.3 hours,Freshman,16-week,82.1%,Lab-heavy,3-year retake,Yes,No,78.91,3 stars,15,7,3 partners,16 cr,7.9 hours,Yes,Small
Capitol Campus,Online,Biology,2021 CY,8.4 hours,Required,3.12 GPA,2.1 hours,Freshman,10-week,80.8%,Lecture,3-year retake,Yes,No,66.97,2 stars,10,5,2 partners,13 cr,6.8 hours,Yes,Medium
Delta Campus,In-person,Algebra,2021 CY,13.0 hours,Required,3.47 GPA,3.9 hours,Sophomore,16-week,81.1%,Lecture,On time,No,No,69.39,2 stars,14,0,0 partners,15 cr,6.5 hours,Yes,Large
Grove Campus,In-person,Algebra,Not Available,7.1 hours,Elective,2.88 GPA,1.5 hours,Freshman,10-week,80.4%,Lecture,Late enroll,No,No,63.92,2 stars,12,6,1 partner,16 cr,6.9 hours,Yes,Large
River Campus,Online,Algebra,2023 CY,12.1 hours,Required,2.80 GPA,3.6 hours,Freshman,12-week,87.4%,Lecture,On time,No,No,71.95,3 stars,10,7,1 partner,15 cr,6.3 hours,No,Small
Prairie Campus,Online,Physics,2019 CY,6.5 hours,Elective,3.19 GPA,2.0 hours,Senior,16-week,85.0%,Studio,On time,Yes,No,66.23,2 stars,11,4,1 partner,16 cr,8.1 hours,No,Medium
Harbor Campus,In-person,Stats,2019 CY,6.0 hours,Elective,2.85 GPA,1.4 hours,Junior,16-week,100.0%,Lecture,On time,Yes,No,68.62,2 stars,15,6,1 partner,16 cr,8.9 hours,Yes,Medium
River Campus,In-person,Algebra,2019 CY,11.2 hours,Required,3.36 GPA,2.6 hours,Freshman,10-week,99.1%,Lecture,On time,No,No,80.12,3 stars,12,7,1 partner,15 cr,8.4 hours,No,Small
North Campus,Online,Physics,2022 CY,7.1 hours,Elective,2.43 GPA,4.4 hours,Junior,16-week,88.9%,Lecture,On time,Yes,Yes,64.79,2 stars,11,8,0 partners,12 cr,4.4 hours,No,Small
Prairie Campus,In-person,Algebra,2019 CY,11.7 hours,Required,3.55 GPA,3.6 hours,Sophomore,16-week,81.4%,Lecture,On time,Yes,No,83.23,4 stars,11,7,1 partner,12 cr,6.3 hours,Yes,Small
Prairie Campus,Hybrid,Literature,Not Available,11.6 hours,Required,3.32 GPA,4.9 hours,Graduate,16-week,77.8%,Studio,On time,No,Yes,87.59,4 stars,11,2,0 partners,16 cr,6.8 hours,No,Small
River Campus,In-person,Physics,Not Available,6.3 hours,Required,2.93 GPA,1.0 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,No,66.65,2 stars,8,0,0 partners,9 cr,7.3 hours,No,Large
Hill Campus,In-person,History,2022 CY,10.3 hours,Required,2.41 GPA,3.3 hours,Senior,16-week,72.9%,Lecture,2-year retake,Yes,Yes,62.28,2 stars,16,6,0 partners,18 cr,4.9 hours,Yes,Medium
Grove Campus,In-person,Algebra,2022 CY,7.3 hours,Required,2.71 GPA,1.9 hours,Senior,16-week,90.1%,Lecture,On time,No,No,66.46,2 stars,8,5,1 partner,13 cr,4.9 hours,Yes,Medium
River Campus,In-person,Literature,2021 CY,10.2 hours,Required,3.57 GPA,4.5 hours,Freshman,12-week,86.6%,Lab-heavy,Late enroll,No,No,68.86,2 stars,17,4,1 partner,15 cr,8.2 hours,Yes,Large
Hill Campus,In-person,Stats,2019 CY,16.5 hours,Required,2.94 GPA,4.5 hours,Freshman,16-week,79.9%,Lecture,Late enroll,No,Yes,91.8,4 stars,9,1,1 partner,13 cr,6.2 hours,Yes,Medium
Hill Campus,In-person,Biology,2023 CY,7.9 hours,Required,3.28 GPA,1.9 hours,Sophomore,12-week,73.0%,Lab-heavy,Late enroll,No,No,62.29,2 stars,15,7,0 partners,18 cr,5.2 hours,Yes,Medium
Prairie Campus,Hybrid,Biology,2020 CY,10.8 hours,Required,2.75 GPA,4.8 hours,Senior,16-week,78.2%,Lecture,On time,Yes,No,83.95,4 stars,6,3,3 partners,9 cr,5.6 hours,Yes,Medium
Capitol Campus,In-person,Algebra,2020 CY,10.6 hours,Required,3.14 GPA,4.3 hours,Junior,10-week,77.5%,Lecture,2-year retake,No,Yes,69.96,2 stars,11,6,0 partners,13 cr,7.2 hours,Yes,Small
Prairie Campus,In-person,Literature,2021 CY,9.2 hours,Required,2.53 GPA,2.3 hours,Junior,16-week,75.9%,Lab-heavy,Late enroll,Yes,No,54.83,1 star,14,4,0 partners,16 cr,5.9 hours,Yes,Medium
River Campus,In-person,Literature,2019 CY,9.4 hours,Elective,3.19 GPA,4.4 hours,Senior,16-week,96.3%,Lecture,Late enroll,Yes,Yes,80.53,3 stars,10,9,0 partners,12 cr,7.1 hours,No,Medium
Hill Campus,In-person,Civics,2022 CY,7.2 hours,Elective,3.32 GPA,3.4 hours,Senior,12-week,82.9%,Lecture,2-year retake,Yes,Yes,76.16,3 stars,11,5,1 partner,12 cr,5.7 hours,Yes,Large
Delta Campus,Online,Physics,2023 CY,11.6 hours,Required,3.29 GPA,6.3 hours,Sophomore,12-week,80.8%,Lecture,On time,No,Yes,75.25,3 stars,13,7,1 partner,16 cr,4.9 hours,Yes,Large
Capitol Campus,In-person,Civics,2023 CY,8.2 hours,Required,2.74 GPA,1.4 hours,Junior,12-week,90.1%,Lecture,On time,Yes,No,70.16,3 stars,15,6,0 partners,16 cr,8.4 hours,Yes,Large
Capitol Campus,Online,Civics,2022 CY,6.2 hours,Required,3.00 GPA,2.4 hours,Senior,16-week,86.7%,Lecture,2-year retake,No,No,63.52,2 stars,11,0,2 partners,12 cr,7.2 hours,Yes,Medium
North Campus,In-person,Biology,2023 CY,11.7 hours,Elective,3.39 GPA,2.7 hours,Sophomore,12-week,85.6%,Lab-heavy,On time,Yes,No,70.34,3 stars,13,5,2 partners,15 cr,6.4 hours,Yes,Medium
North Campus,Hybrid,Literature,2022 CY,9.4 hours,Required,3.05 GPA,3.7 hours,Senior,16-week,89.0%,Lecture,Late enroll,Yes,No,74.07,3 stars,12,4,1 partner,12 cr,6.2 hours,Yes,Large
River Campus,In-person,Biology,2023 CY,7.8 hours,Elective,2.90 GPA,3.2 hours,Freshman,16-week,76.3%,Lecture,On time,Yes,No,60.47,2 stars,8,6,1 partner,12 cr,8.4 hours,Yes,Large
Harbor Campus,Hybrid,History,2022 CY,13.4 hours,Required,3.89 GPA,5.4 hours,Freshman,16-week,97.7%,Lecture,On time,Yes,No,88.03,4 stars,14,1,3 partners,15 cr,7.5 hours,Yes,Medium
Prairie Campus,In-person,Stats,2021 CY,3.2 hours,Required,2.72 GPA,1.3 hours,Senior,16-week,88.9%,Lab-heavy,On time,No,No,60.98,2 stars,12,4,3 partners,12 cr,8.1 hours,Yes,Large
Harbor Campus,In-person,Physics,Not Available,12.6 hours,Elective,3.64 GPA,4.6 hours,Sophomore,12-week,88.5%,Lecture,On time,Yes,No,82.24,4 stars,12,2,1 partner,13 cr,6.2 hours,Yes,Large
Delta Campus,Hybrid,Stats,2021 CY,7.7 hours,Required,2.51 GPA,2.7 hours,Freshman,16-week,73.1%,Lecture,3-year retake,Yes,Yes,75.7,3 stars,8,1,2 partners,12 cr,6.9 hours,Yes,Medium
Prairie Campus,Online,History,2019 CY,10.6 hours,Elective,3.32 GPA,3.0 hours,Freshman,16-week,73.7%,Lab-heavy,On time,Yes,Yes,85.02,4 stars,15,6,2 partners,16 cr,7.2 hours,Yes,Small
North Campus,Online,Chemistry,2021 CY,7.2 hours,Required,3.47 GPA,1.8 hours,Junior,16-week,69.3%,Lab-heavy,On time,Yes,No,76.03,3 stars,16,0,3 partners,15 cr,6.2 hours,Yes,Small
Delta Campus,In-person,Chemistry,2021 CY,6.1 hours,Required,2.92 GPA,1.8 hours,Senior,16-week,81.4%,Studio,On time,Yes,No,64.03,2 stars,11,0,0 partners,12 cr,6.7 hours,Yes,Large
Prairie Campus,Online,Algebra,2021 CY,14.7 hours,Required,2.48 GPA,4.7 hours,Freshman,10-week,85.9%,Lecture,3-year retake,Yes,Yes,80.05,3 stars,11,6,3 partners,18 cr,6.2 hours,Yes,Small
Grove Campus,Hybrid,Biology,2022 CY,15.0 hours,Required,2.14 GPA,5.6 hours,Freshman,16-week,76.4%,Lecture,On time,Yes,No,84.11,4 stars,10,7,1 partner,16 cr,7.2 hours,Yes,Medium
Capitol Campus,Online,Chemistry,2023 CY,8.4 hours,Required,2.87 GPA,3.1 hours,Sophomore,16-week,70.5%,Lecture,On time,Yes,No,52.75,1 star,13,5,1 partner,12 cr,5.3 hours,Yes,Medium
Delta Campus,In-person,Algebra,2021 CY,11.6 hours,Required,3.54 GPA,6.3 hours,Graduate,12-week,79.9%,Lab-heavy,On time,Yes,Yes,80.21,3 stars,17,1,0 partners,18 cr,7.4 hours,Yes,Large
Harbor Campus,Online,Stats,2022 CY,10.7 hours,Required,2.67 GPA,4.1 hours,Sophomore,10-week,82.2%,Lecture,On time,Yes,Yes,68.33,2 stars,13,2,0 partners,12 cr,7.1 hours,No,Large
Prairie Campus,Online,Algebra,2021 CY,16.0 hours,Required,3.34 GPA,7.4 hours,Graduate,12-week,76.5%,Lecture,3-year retake,Yes,Yes,91.69,4 stars,8,3,2 partners,12 cr,6.6 hours,Yes,Large
Prairie Campus,Hybrid,Biology,2023 CY,2.3 hours,Required,2.49 GPA,0.9 hours,Senior,16-week,78.7%,Lecture,3-year retake,Yes,No,46.89,1 star,10,3,1 partner,13 cr,7.3 hours,Yes,Medium
River Campus,In-person,Physics,2020 CY,10.3 hours,Required,3.04 GPA,4.6 hours,Sophomore,10-week,99.3%,Lab-heavy,On time,No,No,76.4,3 stars,14,0,0 partners,12 cr,6.4 hours,Yes,Small
Harbor Campus,In-person,Algebra,2020 CY,6.8 hours,Required,2.63 GPA,2.6 hours,Senior,16-week,100.0%,Lab-heavy,On time,Yes,No,69.95,2 stars,17,2,1 partner,15 cr,6.1 hours,Yes,Medium
Grove Campus,Online,Stats,2022 CY,3.0 hours,Required,3.11 GPA,1.9 hours,Junior,16-week,100.0%,Lecture,On time,Yes,Yes,72.08,3 stars,13,1,0 partners,15 cr,7.4 hours,Yes,Small
Capitol Campus,In-person,Physics,2023 CY,7.3 hours,Elective,2.92 GPA,1.1 hours,Junior,12-week,72.8%,Studio,On time,Yes,No,65.04,2 stars,13,4,1 partner,16 cr,7.4 hours,Yes,Medium
Hill Campus,Online,Algebra,2023 CY,16.4 hours,Required,2.61 GPA,8.4 hours,Sophomore,10-week,77.4%,Studio,On time,No,Yes,88.17,4 stars,9,5,1 partner,12 cr,6.2 hours,Yes,Large
Harbor Campus,In-person,Physics,2022 CY,7.0 hours,Required,2.85 GPA,2.6 hours,Senior,10-week,96.0%,Lecture,On time,Yes,No,64.56,2 stars,13,3,1 partner,12 cr,6.1 hours,Yes,Medium
Hill Campus,In-person,Literature,2023 CY,11.0 hours,Elective,2.73 GPA,4.3 hours,Senior,12-week,84.5%,Lecture,On time,Yes,No,74.23,3 stars,9,4,0 partners,13 cr,6.6 hours,Yes,Medium
River Campus,Online,Physics,2022 CY,12.9 hours,Required,2.56 GPA,5.0 hours,Senior,16-week,88.6%,Lab-heavy,2-year retake,No,No,60.44,2 stars,12,1,0 partners,12 cr,6.2 hours,No,Medium
Grove Campus,In-person,Civics,2019 CY,9.1 hours,Required,3.79 GPA,3.4 hours,Graduate,16-week,91.1%,Lecture,On time,Yes,No,76.26,3 stars,15,6,0 partners,18 cr,8.5 hours,Yes,Large
Prairie Campus,In-person,Physics,2020 CY,8.9 hours,Elective,2.99 GPA,3.3 hours,Sophomore,16-week,100.0%,Lecture,On time,Yes,No,80.98,3 stars,14,0,1 partner,15 cr,7.1 hours,Yes,Medium
Harbor Campus,Online,Literature,2019 CY,5.0 hours,Required,2.16 GPA,3.3 hours,Senior,16-week,96.4%,Lecture,On time,No,Yes,60.15,2 stars,15,5,3 partners,16 cr,6.8 hours,Yes,Medium
Capitol Campus,Online,History,2021 CY,6.8 hours,Required,2.87 GPA,2.9 hours,Senior,12-week,96.6%,Studio,On time,Yes,No,74.25,3 stars,10,2,2 partners,15 cr,5.8 hours,Yes,Small
River Campus,Hybrid,Physics,2022 CY,12.8 hours,Elective,3.44 GPA,4.6 hours,Freshman,16-week,81.9%,Lecture,On time,No,Yes,85.0,4 stars,12,4,2 partners,12 cr,7.6 hours,Yes,Medium
Hill Campus,In-person,Stats,2021 CY,10.1 hours,Elective,2.69 GPA,2.8 hours,Freshman,16-week,88.0%,Lab-heavy,On time,No,Yes,75.85,3 stars,13,6,0 partners,12 cr,6.1 hours,Yes,Medium
North Campus,In-person,Literature,2022 CY,10.3 hours,Required,3.82 GPA,1.7 hours,Sophomore,16-week,85.9%,Lecture,On time,Yes,No,69.28,2 stars,9,5,0 partners,13 cr,6.1 hours,Yes,Medium
Capitol Campus,Hybrid,Literature,2022 CY,9.5 hours,Required,2.76 GPA,2.7 hours,Senior,12-week,64.9%,Lecture,Late enroll,Yes,No,71.51,3 stars,15,7,2 partners,16 cr,7.6 hours,Yes,Large
Grove Campus,In-person,Chemistry,2023 CY,16.9 hours,Elective,3.38 GPA,8.0 hours,Sophomore,12-week,97.7%,Studio,2-year retake,Yes,Yes,92.8,4 stars,13,4,1 partner,13 cr,7.2 hours,Yes,Small
Capitol Campus,In-person,Physics,2023 CY,7.7 hours,Required,3.62 GPA,3.1 hours,Senior,16-week,90.5%,Lecture,2-year retake,No,No,62.57,2 stars,8,1,0 partners,9 cr,4.0 hours,Yes,Medium
Prairie Campus,In-person,Stats,2021 CY,14.2 hours,Required,3.23 GPA,3.9 hours,Freshman,16-week,85.5%,Lecture,On time,Yes,No,80.26,3 stars,9,4,1 partner,15 cr,6.6 hours,Yes,Small
North Campus,In-person,Biology,2021 CY,9.5 hours,Required,2.53 GPA,2.3 hours,Sophomore,12-week,100.0%,Lecture,On time,Yes,No,76.08,3 stars,9,4,1 partner,12 cr,6.9 hours,Yes,Small
Grove Campus,Hybrid,Biology,2022 CY,14.5 hours,Required,2.73 GPA,4.4 hours,Junior,10-week,79.7%,Lab-heavy,On time,No,No,77.0,3 stars,15,6,0 partners,15 cr,6.4 hours,Yes,Small
North Campus,Online,Chemistry,2022 CY,6.6 hours,Required,3.56 GPA,3.8 hours,Freshman,16-week,67.6%,Lecture,On time,No,Yes,66.87,2 stars,6,6,0 partners,9 cr,7.0 hours,Yes,Small
Grove Campus,Online,Chemistry,2021 CY,9.7 hours,Required,2.79 GPA,3.3 hours,Senior,16-week,90.1%,Lecture,3-year retake,Yes,No,57.23,1 star,10,6,1 partner,15 cr,4.8 hours,Yes,Large
Delta Campus,In-person,Literature,2021 CY,9.2 hours,Required,3.47 GPA,3.0 hours,Freshman,16-week,70.2%,Lecture,3-year retake,No,Yes,63.36,2 stars,8,5,0 partners,13 cr,3.7 hours,No,Large
Delta Campus,In-person,Algebra,2023 CY,10.9 hours,Required,3.11 GPA,4.0 hours,Graduate,10-week,87.0%,Lecture,On time,Yes,Yes,81.75,3 stars,15,5,1 partner,16 cr,5.7 hours,Yes,Medium
River Campus,In-person,History,2023 CY,12.4 hours,Elective,3.09 GPA,3.9 hours,Freshman,12-week,91.1%,Lecture,On time,No,No,73.89,3 stars,11,2,2 partners,15 cr,7.1 hours,Yes,Medium
North Campus,In-person,Literature,2020 CY,10.3 hours,Required,2.68 GPA,3.2 hours,Graduate,16-week,92.9%,Lecture,On time,Yes,No,71.6,3 stars,8,2,3 partners,9 cr,3.5 hours,Yes,Large
Prairie Campus,In-person,Literature,2022 CY,14.4 hours,Required,2.88 GPA,6.9 hours,Junior,16-week,97.5%,Lecture,On time,Yes,Yes,99.0,5 stars,12,0,0 partners,16 cr,5.9 hours,Yes,Large
Capitol Campus,In-person,Literature,2023 CY,7.0 hours,Required,2.64 GPA,3.0 hours,Freshman,10-week,88.8%,Lecture,3-year retake,Yes,No,63.65,2 stars,10,4,0 partners,16 cr,4.7 hours,Yes,Medium
Capitol Campus,In-person,Physics,2019 CY,6.5 hours,Required,3.13 GPA,1.2 hours,Freshman,16-week,94.5%,Lab-heavy,On time,Yes,No,71.08,3 stars,15,7,1 partner,15 cr,6.5 hours,Yes,Small
Grove Campus,Online,Literature,2023 CY,8.6 hours,Elective,3.07 GPA,1.9 hours,Freshman,16-week,78.1%,Lab-heavy,On time,Yes,No,61.89,2 stars,19,0,0 partners,18 cr,9.0 hours,Yes,Medium
Grove Campus,Online,Civics,2020 CY,9.8 hours,Elective,3.36 GPA,3.8 hours,Junior,16-week,88.9%,Lecture,On time,Yes,Yes,74.72,3 stars,14,8,2 partners,16 cr,6.6 hours,Yes,Large
