branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
Delta Branch,Online,Personal,2019 VY,"$53,400",Purchase,"$3,090","$11,700",Contract,36-month,8.69%,Simple,Late docs,Yes,No,10874.75,3 stars,5,7,1 borrower,$0,"$9,210",Yes,Real-estate
Central Branch,Online,Personal,2023 VY,"$54,900",Purchase,"$10,870","$14,000",Employed,36-month,5.20%,Simple,On time,Yes,Yes,13531.13,4 stars,1,11,1 borrower,$0,"$9,500",Yes,Real-estate
Central Branch,Branch,Student,2019 VY,"$35,100",Purchase,"$9,030","$20,300",Contract,120-month,7.19%,Simple,On time,Yes,No,19149.26,4 stars,6,8,4 borrowers,$0,"$4,230",No,Unsecured
Prairie Branch,Branch,Auto,2022 VY,"$76,200",Purchase,"$23,990","$25,700",Employed,60-month,3.90%,Simple,On time,Yes,Yes,26303.29,4 stars,2,15,2 borrowers,"$1,750","$12,730",Yes,Real-estate
Prairie Branch,Branch,Student,2021 VY,"$26,200",Refinance,"$5,240","$19,900",Public,120-month,4.81%,Simple,On time,No,No,20049.19,4 stars,5,4,1 borrower,$0,"$3,970",Yes,Real-estate
North Branch,Branch,Personal,2021 VY,"$62,000",Purchase,"$15,450","$13,600",Public,36-month,7.22%,Simple,Late docs,Yes,Yes,12529.72,4 stars,6,15,4 borrowers,$0,"$4,650",Yes,Real-estate
River Branch,Branch,HELOC,2020 VY,"$68,400",Purchase,"$23,260","$74,200",Employed,180-month,10.72%,Schedule-heavy,Late docs,Yes,No,43189.53,2 stars,3,12,4 borrowers,"$7,140","$9,530",Yes,Unsecured
North Branch,Branch,HELOC,2023 VY,"$103,000",Purchase,"$40,810","$42,000",Employed,180-month,10.95%,Schedule-heavy,Late docs,Yes,No,18423.73,1 star,5,13,1 borrower,"$9,920","$14,250",No,Unsecured
Prairie Branch,Online,Personal,Not Available,"$42,900",Purchase,"$6,220","$26,100",Employed,36-month,5.48%,Simple,Late docs,Yes,Yes,28416.12,4 stars,10,10,1 borrower,$0,"$8,980",Yes,Real-estate
Harbor Branch,Branch,Personal,2020 VY,"$60,300",Refinance,"$21,890","$17,700",Employed,36-month,13.12%,Simple,2-year prior,No,No,10206.85,2 stars,2,9,2 borrowers,$0,"$7,220",Yes,Unsecured
Harbor Branch,Broker,Personal,Not Available,"$58,800",Purchase,"$20,500","$8,500",Employed,36-month,11.31%,Simple,On time,Yes,No,6841.24,4 stars,5,9,2 borrowers,$0,"$7,070",Yes,Unsecured
North Branch,Online,HELOC,2022 VY,"$89,900",Purchase,"$4,970","$58,600",Contract,90-month,8.49%,Schedule-heavy,3-year prior,Yes,No,38206.71,2 stars,6,13,2 borrowers,"$8,300","$22,150",Yes,Auto
Harbor Branch,Branch,Auto,2023 VY,"$73,900",Refinance,"$11,760","$27,900",Self-employed,60-month,8.27%,Simple,On time,Yes,Yes,22803.65,4 stars,6,14,1 borrower,"$6,760","$16,680",No,Unsecured
Capitol Branch,Branch,Mortgage,2023 VY,"$41,700",Refinance,"$4,600","$210,700",Public,360-month,12.38%,Full-doc,On time,Yes,No,102243.03,1 star,4,6,1 borrower,"$41,470","$3,160",Yes,Unsecured
River Branch,Branch,Mortgage,2023 VY,"$57,900",Purchase,"$16,880","$114,400",Employed,360-month,6.82%,Full-doc,Late docs,Yes,No,76542.08,2 stars,6,8,1 borrower,"$13,300","$13,280",Yes,Real-estate
Capitol Branch,Broker,Student,2023 VY,"$25,600",Refinance,"$5,790","$11,500",Employed,120-month,6.71%,Simple,On time,Yes,No,9033.56,3 stars,0,4,1 borrower,$0,"$1,320",Yes,Real-estate
River Branch,Branch,Mortgage,2022 VY,"$45,800",Purchase,"$9,170","$285,500",Employed,360-month,5.14%,Full-doc,On time,No,No,256680.5,3 stars,3,7,2 borrowers,"$71,170","$9,910",Yes,Real-estate
Delta Branch,Online,Mortgage,2022 VY,"$79,000",Refinance,"$26,190","$92,600",Public,360-month,8.79%,Full-doc,On time,No,No,82672.2,4 stars,4,10,1 borrower,"$12,390","$4,910",Yes,Unsecured
Harbor Branch,Broker,Ag,2021 VY,"$60,800",Purchase,"$11,410","$32,000",Employed,84-month,9.53%,Schedule-heavy,On time,No,Yes,21304.48,2 stars,5,12,1 borrower,$0,"$7,170",No,Unsecured
North Branch,Broker,Personal,2020 VY,"$75,600",Purchase,"$14,170","$16,600",Employed,36-month,8.11%,Simple,2-year prior,No,Yes,12704.4,3 stars,8,15,2 borrowers,$0,"$18,620",Yes,Auto
North Branch,Branch,HELOC,2023 VY,"$92,000",Purchase,"$33,210","$50,700",Employed,180-month,4.06%,Schedule-heavy,On time,Yes,Yes,50509.06,4 stars,6,16,1 borrower,"$8,870","$3,890",Yes,Auto
River Branch,Branch,Personal,2019 VY,"$70,500",Purchase,"$28,720","$10,600",Public,36-month,7.83%,Simple,On time,Yes,Yes,12037.39,5 stars,3,13,1 borrower,$0,"$15,030",No,Unsecured
Harbor Branch,Branch,Mortgage,2021 VY,"$101,700",Purchase,"$31,610","$198,400",Employed,360-month,4.02%,Full-doc,On time,Yes,Yes,199617.16,3 stars,0,19,3 borrowers,"$12,680","$13,610",Yes,Real-estate
Highland Branch,Branch,Card,2020 VY,"$43,800",Purchase,"$5,200","$3,900",Self-employed,36-month,12.94%,Simple,On time,No,Yes,4438.61,3 stars,2,10,1 borrower,$0,"$1,990",Yes,Real-estate
Harbor Branch,Branch,SME,2020 VY,"$116,000",Purchase,"$9,130","$99,400",Contract,60-month,7.68%,Schedule-heavy,On time,Yes,No,68673.16,2 stars,3,17,3 borrowers,$0,"$27,730",Yes,Auto
River Branch,Online,SME,2023 VY,"$142,800",Purchase,"$15,940","$61,000",Contract,60-month,6.93%,Schedule-heavy,On time,Yes,No,56765.95,4 stars,7,18,1 borrower,$0,"$20,890",Yes,Unsecured
Central Branch,Broker,Auto,2023 VY,"$81,900",Purchase,"$15,530","$17,900",Employed,60-month,8.70%,Simple,On time,Yes,Yes,15794.33,3 stars,6,15,1 borrower,"$3,400","$18,230",Yes,Unsecured
Central Branch,Online,Auto,2022 VY,"$55,400",Purchase,"$6,710","$24,700",Employed,60-month,9.31%,Simple,On time,Yes,No,17599.86,3 stars,7,8,2 borrowers,"$3,090","$12,180",Yes,Unsecured
North Branch,Online,Auto,2020 VY,"$25,000",Refinance,"$10,750","$20,000",Employed,60-month,12.25%,Simple,On time,No,No,10032.24,1 star,7,4,1 borrower,"$1,350",$580,Yes,Unsecured
River Branch,Branch,Mortgage,2022 VY,"$37,000",Refinance,"$12,220","$180,800",Employed,360-month,6.76%,Full-doc,On time,No,No,134520.12,2 stars,1,6,2 borrowers,"$47,540","$2,990",No,Auto
Delta Branch,Online,Mortgage,2021 VY,"$81,600",Purchase,"$15,070","$72,900",Contract,360-month,6.30%,Full-doc,Late docs,Yes,No,57087.66,3 stars,3,11,1 borrower,"$8,930","$7,960",Yes,Auto
Delta Branch,Online,Auto,2023 VY,"$14,000",Purchase,"$1,390","$24,800",Employed,90-month,4.42%,Simple,On time,No,No,21127.53,3 stars,4,3,2 borrowers,"$2,810","$2,000",Yes,Auto
River Branch,Broker,Auto,2022 VY,"$93,900",Purchase,"$16,750","$22,600",Employed,60-month,10.18%,Simple,On time,Yes,No,15286.68,1 star,2,12,1 borrower,"$1,660","$3,430",No,Real-estate
Highland Branch,Broker,Auto,2022 VY,"$69,900",Purchase,"$16,410","$18,000",Employed,60-month,9.42%,Simple,3-year prior,Yes,No,13342.51,3 stars,6,10,2 borrowers,"$3,290","$7,650",Yes,Unsecured
Harbor Branch,Branch,Auto,2022 VY,"$45,300",Refinance,"$14,270","$14,000",Self-employed,60-month,10.23%,Simple,On time,Yes,No,7043.04,1 star,3,7,2 borrowers,"$1,560","$9,390",Yes,Unsecured
Capitol Branch,Branch,Personal,Not Available,"$32,000",Purchase,"$2,480","$14,100",Employed,36-month,9.26%,Simple,On time,No,Yes,13895.11,4 stars,0,10,2 borrowers,$0,"$1,910",Yes,Unsecured
Prairie Branch,Branch,HELOC,2023 VY,"$116,800",Purchase,"$42,990","$64,200",Self-employed,180-month,9.56%,Schedule-heavy,Late docs,Yes,No,41419.4,3 stars,4,15,1 borrower,"$13,290","$21,180",Yes,Unsecured
Capitol Branch,Branch,SME,2022 VY,"$59,900",Purchase,"$4,580","$87,900",Employed,60-month,6.49%,Schedule-heavy,On time,Yes,No,72484.46,2 stars,2,9,2 borrowers,$0,"$7,540",Yes,Auto
Capitol Branch,Broker,Personal,2022 VY,"$33,700",Purchase,"$6,350","$22,000",Retired,36-month,8.04%,Simple,Late docs,No,No,18723.17,3 stars,0,6,2 borrowers,$0,"$1,220",Yes,Real-estate
North Branch,Branch,SME,2019 VY,"$75,500",Refinance,"$31,520","$106,000",Contract,60-month,5.99%,Schedule-heavy,Late docs,Yes,No,80701.95,3 stars,2,10,1 borrower,$0,"$4,590",Yes,Real-estate
Central Branch,Online,HELOC,Not Available,"$91,200",Purchase,"$9,210","$52,900",Employed,180-month,3.90%,Schedule-heavy,3-year prior,Yes,Yes,49352.11,4 stars,6,17,2 borrowers,"$2,830","$4,780",Yes,Auto
Highland Branch,Online,Auto,2021 VY,"$70,400",Purchase,"$5,250","$27,700",Employed,60-month,5.37%,Simple,3-year prior,No,Yes,22343.88,3 stars,8,13,1 borrower,"$5,330","$11,440",Yes,Auto
North Branch,Branch,Personal,2021 VY,"$73,500",Purchase,"$22,250","$14,200",Employed,36-month,12.55%,Simple,On time,No,No,11336.13,3 stars,5,10,1 borrower,$0,"$2,950",Yes,Unsecured
Central Branch,Branch,Personal,Not Available,"$70,800",Refinance,"$12,900","$14,200",Employed,18-month,10.49%,Simple,Late docs,No,No,9971.06,2 stars,1,10,2 borrowers,$0,"$14,820",Yes,Auto
Harbor Branch,Online,Personal,2023 VY,"$52,000",Purchase,"$5,030","$20,400",Employed,36-month,11.74%,Simple,On time,No,No,14230.38,3 stars,3,7,1 borrower,$0,"$10,690",Yes,Unsecured
Prairie Branch,Online,Student,2019 VY,"$37,200",Refinance,$790,"$12,300",Public,120-month,3.90%,Simple,On time,Yes,No,14030.32,4 stars,6,5,1 borrower,$0,"$1,430",Yes,Real-estate
River Branch,Branch,Ag,2019 VY,"$51,900",Refinance,"$2,720","$65,500",Self-employed,84-month,6.27%,Schedule-heavy,On time,Yes,No,52492.11,2 stars,2,8,2 borrowers,$0,"$11,640",Yes,Auto
Harbor Branch,Branch,Personal,2019 VY,"$19,200",Purchase,"$5,370","$19,800",Employed,36-month,11.40%,Simple,On time,No,No,13473.86,3 stars,4,4,2 borrowers,$0,"$4,620",No,Unsecured
Delta Branch,Online,Student,2022 VY,"$22,000",Refinance,"$1,760","$19,900",Self-employed,120-month,10.40%,Simple,On time,Yes,Yes,13355.0,2 stars,7,7,1 borrower,$0,$660,No,Unsecured
Prairie Branch,Branch,Personal,2019 VY,"$37,500",Purchase,"$13,570","$12,200",Employed,36-month,14.96%,Simple,On time,Yes,No,7534.78,1 star,1,5,1 borrower,$0,"$8,950",Yes,Unsecured
Prairie Branch,Broker,SME,Not Available,"$81,600",Purchase,"$30,280","$34,200",Retired,60-month,5.75%,Schedule-heavy,On time,No,Yes,31041.09,3 stars,3,15,1 borrower,$0,"$6,880",No,Real-estate
Harbor Branch,Branch,Student,Not Available,"$19,400",Purchase,$800,"$3,700",Employed,120-month,9.43%,Simple,On time,Yes,No,757.1,3 stars,4,4,2 borrowers,$0,"$3,350",No,Unsecured
Capitol Branch,Branch,Auto,2022 VY,"$48,800",Purchase,"$8,120","$38,000",Contract,60-month,9.19%,Simple,2-year prior,Yes,Yes,25050.25,2 stars,9,11,1 borrower,"$5,620","$2,940",Yes,Unsecured
Central Branch,Online,Personal,2022 VY,"$63,200",Purchase,"$5,390","$15,500",Contract,18-month,15.02%,Simple,On time,No,No,8812.31,2 stars,6,9,2 borrowers,$0,"$13,150",Yes,Unsecured
Harbor Branch,Online,SME,2021 VY,"$187,200",Purchase,"$28,300","$67,600",Employed,60-month,5.63%,Schedule-heavy,Late docs,No,Yes,55916.05,3 stars,4,28,2 borrowers,$0,"$39,990",Yes,Real-estate
Capitol Branch,Online,Ag,2019 VY,"$20,200",Purchase,"$4,910","$73,000",Employed,84-month,6.81%,Schedule-heavy,Late docs,No,Yes,46625.24,3 stars,4,9,3 borrowers,$0,"$4,950",Yes,Auto
Capitol Branch,Branch,Auto,2023 VY,"$32,200",Purchase,"$10,470","$14,700",Employed,60-month,8.35%,Simple,Late docs,No,No,9362.56,2 stars,7,5,1 borrower,"$2,690","$7,990",Yes,Auto
Prairie Branch,Broker,Personal,2020 VY,"$37,800",Purchase,"$7,120","$12,400",Public,36-month,14.92%,Simple,On time,Yes,No,8318.29,2 stars,6,5,1 borrower,$0,"$1,420",Yes,Unsecured
Highland Branch,Online,Personal,2020 VY,"$65,800",Purchase,"$15,050","$9,400",Self-employed,36-month,13.23%,Simple,2-year prior,No,Yes,5393.86,2 stars,7,13,1 borrower,$0,"$11,270",Yes,Unsecured
Prairie Branch,Branch,Mortgage,2021 VY,"$85,400",Purchase,"$25,310","$121,300",Self-employed,360-month,6.11%,Full-doc,Late docs,Yes,No,96777.71,3 stars,5,11,1 borrower,"$8,750","$7,070",Yes,Real-estate
Harbor Branch,Branch,SME,2019 VY,"$77,400",Refinance,"$27,080","$22,400",Contract,60-month,8.67%,Schedule-heavy,Late docs,No,Yes,16255.88,3 stars,2,14,1 borrower,$0,"$3,780",No,Unsecured
Capitol Branch,Branch,Student,2022 VY,"$34,500",Refinance,"$4,300","$7,900",Public,120-month,10.09%,Simple,2-year prior,Yes,Yes,5615.29,2 stars,5,11,3 borrowers,$0,"$1,870",Yes,Unsecured
North Branch,Online,Student,2023 VY,"$36,600",Purchase,"$4,780","$24,400",Employed,60-month,5.68%,Simple,On time,No,Yes,22660.12,3 stars,5,9,1 borrower,$0,"$8,610",Yes,Auto
Highland Branch,Branch,Card,2023 VY,"$53,600",Purchase,"$21,730","$5,200",Employed,24-month,16.62%,Simple,On time,Yes,No,5291.69,3 stars,2,7,1 borrower,$0,"$9,500",Yes,Unsecured
Highland Branch,Online,HELOC,2022 VY,"$65,100",Purchase,"$9,440","$65,300",Contract,180-month,11.63%,Schedule-heavy,2-year prior,No,No,32401.34,1 star,5,10,2 borrowers,"$7,620","$2,060",Yes,Unsecured
Delta Branch,Branch,Auto,2023 VY,"$63,400",Refinance,"$19,920","$29,400",Employed,60-month,6.66%,Simple,On time,Yes,No,25374.83,3 stars,4,11,4 borrowers,"$7,150","$15,620",Yes,Real-estate
North Branch,Broker,Mortgage,2022 VY,"$84,500",Purchase,"$25,260","$241,400",Public,360-month,4.68%,Full-doc,Late docs,Yes,No,217362.27,4 stars,6,11,1 borrower,"$38,580","$17,390",Yes,Auto
Harbor Branch,Branch,Auto,2023 VY,"$53,200",Refinance,"$12,250","$19,700",Employed,60-month,12.01%,Simple,On time,Yes,No,10459.11,2 stars,2,8,2 borrowers,"$4,020","$4,850",Yes,Unsecured
River Branch,Broker,Auto,2022 VY,"$47,800",Purchase,"$7,670","$23,000",Employed,90-month,7.58%,Simple,On time,Yes,No,19333.4,4 stars,6,7,2 borrowers,"$5,830","$6,130",Yes,Unsecured
Prairie Branch,Branch,Card,2021 VY,"$71,600",Purchase,"$4,510","$6,800",Public,24-month,12.25%,Simple,On time,No,No,7579.09,4 stars,3,9,1 borrower,$0,"$13,400",Yes,Real-estate
River Branch,Branch,SME,Not Available,"$121,200",Refinance,"$28,810","$120,800",Employed,60-month,9.66%,Schedule-heavy,On time,Yes,Yes,94569.84,3 stars,2,21,2 borrowers,$0,"$21,270",Yes,Unsecured
North Branch,Broker,Ag,2021 VY,"$103,100",Purchase,"$23,080","$107,700",Employed,84-month,10.87%,Schedule-heavy,3-year prior,Yes,Yes,67121.99,2 stars,6,17,1 borrower,$0,"$13,040",Yes,Unsecured
Prairie Branch,Online,Auto,2019 VY,"$84,700",Refinance,"$28,530","$33,200",Employed,30-month,4.72%,Simple,On time,Yes,Yes,34650.25,4 stars,3,15,1 borrower,"$5,990","$11,680",Yes,Auto
North Branch,Online,Mortgage,2021 VY,"$106,700",Purchase,"$32,340","$59,300",Self-employed,360-month,7.08%,Full-doc,Late docs,Yes,No,39317.02,2 stars,4,14,1 borrower,"$7,020","$3,190",Yes,Auto
North Branch,Branch,Mortgage,2021 VY,"$75,800",Purchase,"$28,190","$203,300",Public,360-month,9.01%,Full-doc,On time,No,No,126324.82,1 star,7,10,1 borrower,"$24,110","$10,240",Yes,Real-estate
Prairie Branch,Online,Personal,2021 VY,"$70,700",Purchase,"$30,490","$14,000",Employed,36-month,13.38%,Simple,3-year prior,Yes,Yes,11481.81,2 stars,3,14,2 borrowers,$0,"$6,950",Yes,Unsecured
Central Branch,Broker,Auto,2022 VY,"$67,300",Purchase,"$23,530","$25,600",Employed,60-month,8.93%,Simple,On time,Yes,No,20437.87,3 stars,1,10,2 borrowers,"$1,600","$5,760",Yes,Unsecured
Highland Branch,Online,Mortgage,2023 VY,"$175,300",Purchase,"$11,840","$94,900",Employed,360-month,5.68%,Full-doc,On time,Yes,No,89617.95,3 stars,7,22,1 borrower,"$25,290","$14,380",Yes,Auto
North Branch,Branch,Personal,2021 VY,"$57,600",Purchase,"$11,570","$5,500",Retired,54-month,9.28%,Simple,On time,Yes,Yes,4703.53,2 stars,1,13,2 borrowers,$0,"$9,750",Yes,Auto
River Branch,Online,Card,2022 VY,"$67,300",Purchase,"$18,330","$11,700",Employed,24-month,16.30%,Simple,On time,No,Yes,9375.17,3 stars,7,13,1 borrower,$0,"$7,990",Yes,Unsecured
Prairie Branch,Online,Personal,2021 VY,"$57,200",Purchase,"$17,190","$11,300",Retired,36-month,6.85%,Simple,3-year prior,Yes,Yes,11589.29,3 stars,4,12,1 borrower,$0,"$6,750",Yes,Auto
Prairie Branch,Broker,Personal,2023 VY,"$50,200",Purchase,"$2,930","$6,700",Public,36-month,12.13%,Simple,3-year prior,Yes,Yes,6359.45,3 stars,4,12,2 borrowers,$0,"$2,840",Yes,Unsecured
Harbor Branch,Branch,Student,2020 VY,"$25,700",Purchase,"$7,170","$11,000",Employed,60-month,8.77%,Simple,On time,No,No,6404.98,2 stars,7,4,1 borrower,$0,"$6,200",Yes,Real-estate
River Branch,Branch,Personal,2020 VY,"$57,300",Purchase,"$9,030","$15,900",Public,18-month,6.92%,Simple,On time,Yes,No,15662.33,4 stars,1,9,2 borrowers,$0,"$4,100",Yes,Real-estate
Central Branch,Online,Card,2022 VY,"$63,900",Purchase,"$7,960","$5,700",Contract,24-month,14.53%,Simple,On time,Yes,Yes,4801.35,3 stars,1,12,1 borrower,$0,"$7,250",Yes,Auto
Highland Branch,Online,Student,2023 VY,"$38,400",Refinance,"$13,270","$19,500",Employed,120-month,4.98%,Simple,On time,Yes,No,19109.38,4 stars,4,6,2 borrowers,$0,"$2,450",Yes,Real-estate
Capitol Branch,Online,Personal,2023 VY,"$57,600",Purchase,"$13,760","$9,200",Employed,36-month,9.50%,Simple,On time,No,Yes,5820.6,2 stars,1,12,1 borrower,$0,"$10,470",Yes,Real-estate
River Branch,Branch,SME,2022 VY,"$89,200",Purchase,"$20,660","$33,100",Public,60-month,9.20%,Schedule-heavy,On time,Yes,Yes,25739.26,3 stars,0,16,1 borrower,$0,"$10,730",Yes,Unsecured
Capitol Branch,Branch,SME,2023 VY,"$95,300",Refinance,"$25,140","$127,400",Contract,60-month,8.45%,Schedule-heavy,On time,Yes,Yes,109921.7,3 stars,5,17,2 borrowers,$0,"$10,970",Yes,Unsecured
Harbor Branch,Online,Student,2022 VY,"$16,100",Purchase,"$5,530","$20,500",Contract,120-month,6.65%,Simple,2-year prior,No,No,14873.55,2 stars,9,4,2 borrowers,$0,"$3,560",No,Auto
Central Branch,Branch,HELOC,2019 VY,"$134,500",Purchase,"$16,260","$48,600",Retired,180-month,11.91%,Schedule-heavy,On time,No,No,27795.63,2 stars,6,17,1 borrower,"$8,920","$26,180",Yes,Unsecured
Prairie Branch,Branch,Student,2020 VY,"$23,100",Refinance,"$6,330","$14,700",Employed,120-month,13.08%,Simple,On time,Yes,No,10435.72,1 star,7,5,3 borrowers,$0,"$3,220",Yes,Unsecured
River Branch,Online,SME,2019 VY,"$153,500",Purchase,"$23,600","$128,600",Public,60-month,6.22%,Schedule-heavy,On time,No,Yes,127658.6,4 stars,4,24,1 borrower,$0,"$19,610",Yes,Unsecured
Highland Branch,Online,Auto,2021 VY,"$63,500",Purchase,"$17,490","$26,600",Public,60-month,5.43%,Simple,On time,Yes,No,25030.06,3 stars,4,8,1 borrower,"$5,100","$15,290",Yes,Real-estate
Harbor Branch,Broker,SME,2022 VY,"$123,700",Refinance,"$12,890","$119,100",Employed,60-month,4.79%,Schedule-heavy,On time,No,Yes,122138.95,4 stars,7,20,1 borrower,$0,"$29,690",Yes,Auto
Capitol Branch,Branch,Card,2021 VY,"$51,800",Refinance,"$21,710","$6,400",Employed,12-month,13.10%,Simple,On time,No,Yes,7628.79,4 stars,4,12,2 borrowers,$0,"$9,430",Yes,Real-estate
Delta Branch,Branch,SME,2022 VY,"$74,500",Purchase,"$25,280","$86,500",Employed,60-month,9.04%,Schedule-heavy,On time,Yes,No,69526.4,3 stars,0,11,2 borrowers,$0,"$14,520",Yes,Unsecured
Highland Branch,Broker,SME,2022 VY,"$66,400",Purchase,"$13,340","$97,000",Public,60-month,10.48%,Schedule-heavy,Late docs,Yes,No,59140.41,2 stars,1,10,2 borrowers,$0,"$15,060",Yes,Unsecured
Central Branch,Branch,Mortgage,2023 VY,"$147,300",Refinance,"$25,390","$193,800",Employed,360-month,4.64%,Full-doc,2-year prior,Yes,Yes,163973.48,3 stars,4,24,2 borrowers,"$34,410","$35,620",Yes,Real-estate
Highland Branch,Branch,Student,2023 VY,"$29,000",Purchase,"$4,920","$17,400",Contract,180-month,9.44%,Simple,2-year prior,No,No,15174.32,3 stars,6,4,1 borrower,$0,"$1,130",Yes,Unsecured
Prairie Branch,Branch,Ag,2021 VY,"$105,800",Purchase,"$35,150","$51,700",Employed,42-month,10.26%,Schedule-heavy,On time,Yes,No,40443.77,3 stars,4,14,1 borrower,$0,"$26,390",Yes,Unsecured
North Branch,Online,Personal,2021 VY,"$76,900",Purchase,"$22,390","$16,000",Employed,36-month,10.09%,Simple,On time,Yes,No,13768.84,4 stars,3,10,1 borrower,$0,"$13,970",Yes,Unsecured
Central Branch,Broker,Personal,2022 VY,"$44,600",Purchase,"$15,720","$7,500",Self-employed,18-month,9.45%,Simple,On time,No,No,5032.97,2 stars,2,7,2 borrowers,$0,"$6,970",Yes,Auto
Delta Branch,Online,Mortgage,2022 VY,"$105,600",Purchase,"$38,430","$288,000",Employed,360-month,11.28%,Full-doc,On time,No,Yes,179365.41,2 stars,5,18,1 borrower,"$78,060","$12,150",Yes,Unsecured
Central Branch,Online,Mortgage,2021 VY,"$93,400",Purchase,"$20,150","$266,100",Public,360-month,8.57%,Full-doc,3-year prior,Yes,No,197540.14,3 stars,7,13,2 borrowers,"$29,690","$9,090",Yes,Unsecured
North Branch,Branch,Mortgage,2021 VY,"$55,000",Purchase,"$15,720","$222,900",Employed,360-month,11.21%,Full-doc,3-year prior,No,Yes,129870.5,2 stars,3,12,2 borrowers,"$26,150","$11,270",No,Unsecured
North Branch,Branch,Personal,2023 VY,"$48,700",Purchase,"$10,290","$16,200",Public,36-month,8.09%,Simple,On time,Yes,Yes,17246.75,5 stars,4,12,2 borrowers,$0,"$8,300",Yes,Unsecured
Harbor Branch,Branch,Auto,2023 VY,"$69,800",Refinance,"$21,180","$19,200",Employed,60-month,7.77%,Simple,On time,No,No,16236.91,4 stars,3,9,1 borrower,"$1,690","$4,620",Yes,Unsecured
Delta Branch,Branch,SME,2020 VY,"$87,500",Purchase,"$19,740","$65,100",Retired,60-month,4.69%,Schedule-heavy,On time,Yes,No,63843.8,4 stars,1,11,1 borrower,$0,"$14,020",Yes,Auto
Prairie Branch,Branch,SME,2022 VY,"$95,400",Purchase,"$33,440","$101,200",Self-employed,60-month,7.37%,Schedule-heavy,On time,Yes,Yes,94659.82,4 stars,3,18,3 borrowers,$0,"$5,010",Yes,Unsecured
Highland Branch,Branch,SME,2023 VY,"$102,200",Purchase,"$3,490","$102,500",Employed,30-month,11.30%,Schedule-heavy,3-year prior,No,No,51722.98,2 stars,1,14,2 borrowers,$0,"$13,720",Yes,Unsecured
Highland Branch,Branch,Student,2019 VY,"$47,000",Purchase,"$4,750","$14,800",Employed,120-month,8.65%,Simple,On time,Yes,No,9474.26,1 star,4,6,1 borrower,$0,"$7,250",Yes,Auto
Central Branch,Online,SME,2023 VY,"$27,500",Refinance,"$4,220","$67,400",Employed,30-month,5.00%,Schedule-heavy,On time,Yes,No,24221.76,4 stars,0,5,2 borrowers,$0,"$4,570",Yes,Real-estate
Central Branch,Online,Student,2020 VY,"$32,500",Refinance,"$12,930","$16,800",Self-employed,120-month,11.60%,Simple,On time,Yes,Yes,12173.85,2 stars,3,11,3 borrowers,$0,"$1,740",Yes,Unsecured
Capitol Branch,Branch,SME,2022 VY,"$98,600",Purchase,"$22,720","$68,600",Public,60-month,7.14%,Schedule-heavy,On time,No,Yes,69131.44,4 stars,7,17,1 borrower,$0,"$4,140",No,Unsecured
Delta Branch,Online,Mortgage,2022 VY,"$71,500",Purchase,"$11,610","$368,100",Employed,360-month,8.17%,Full-doc,On time,No,Yes,323089.3,3 stars,1,15,3 borrowers,"$98,510","$5,680",Yes,Unsecured
Delta Branch,Online,SME,2019 VY,"$97,500",Purchase,"$20,320","$94,400",Employed,60-month,7.18%,Schedule-heavy,Late docs,No,Yes,74488.88,2 stars,2,17,1 borrower,$0,"$15,560",Yes,Real-estate
River Branch,Online,Personal,2023 VY,"$64,000",Purchase,"$13,110","$14,100",Self-employed,36-month,9.90%,Simple,On time,No,Yes,10708.02,3 stars,5,16,4 borrowers,$0,"$14,990",Yes,Unsecured
Harbor Branch,Online,Auto,2022 VY,"$72,500",Purchase,"$28,520","$14,800",Self-employed,60-month,9.62%,Simple,On time,No,Yes,11529.96,3 stars,7,14,1 borrower,"$3,290","$14,440",Yes,Unsecured
Harbor Branch,Branch,Mortgage,Not Available,"$98,000",Purchase,"$39,770","$302,100",Contract,360-month,7.12%,Full-doc,On time,Yes,Yes,273512.7,3 stars,7,17,1 borrower,"$31,980","$18,770",No,Auto
North Branch,Broker,HELOC,2021 VY,"$118,600",Purchase,"$43,570","$43,200",Employed,180-month,7.36%,Schedule-heavy,On time,Yes,Yes,40897.53,4 stars,0,19,1 borrower,"$3,560","$11,380",Yes,Unsecured
Prairie Branch,Branch,SME,2023 VY,"$167,100",Purchase,"$60,800","$65,600",Contract,60-month,8.34%,Schedule-heavy,On time,No,No,58250.39,4 stars,1,22,2 borrowers,$0,"$7,640",No,Unsecured
Central Branch,Branch,Personal,Not Available,"$66,700",Purchase,"$6,720","$17,800",Retired,36-month,12.26%,Simple,On time,No,No,12141.52,3 stars,7,12,4 borrowers,$0,"$15,020",Yes,Unsecured
Prairie Branch,Branch,SME,2022 VY,"$85,400",Purchase,"$12,580","$96,500",Employed,60-month,6.25%,Schedule-heavy,On time,No,Yes,84838.44,2 stars,4,15,1 borrower,$0,"$11,550",Yes,Auto
Central Branch,Branch,Auto,2021 VY,"$67,900",Purchase,"$20,410","$2,700",Employed,60-month,4.09%,Simple,On time,No,No,510.14,4 stars,6,9,1 borrower,$140,"$2,930",Yes,Auto
